,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.010340113483133824,0.015301086663969808,0.05668186342722184,0.004938374431417286,0.015464402853725159,0.002909994182204904,0.010764889119920247,0.021425792583209178,0.10067157860514626,0.5850043390786361,0.008160859647825149,0.01370670882561789,0.0021597397211858133,0.01713177858917164,0.0095172993826117,0.020638921193140362,0.023970562816807157,0.0016691117155665245,0.017359577284082064,0.0135987784197336,0.013584882116599244,0.002593346897629712,0.009751008941269849,0.02265499002017477,0.0
Amoxicillin-clavulanic acid_AB,0.011722670171741598,0.013058698553091021,0.018716731380754817,0.010504457587262393,0.09309891091890729,0.06418136490462126,0.1033558627735547,0.010948317762720605,0.021175279080087678,0.01468853462790169,0.004481178983227498,0.09858310074951497,0.06747103173577439,0.1067523840530562,0.020908874597659485,0.20432400671505516,0.07587013772525505,0.0,0.041524424538230756,0.006389760085451378,0.0,0.0,0.00400564627613657,0.008238626779995662,0.0
Ampicillin-sulbactam_AB,0.005163487316787439,0.018168166318295653,0.012307728048300224,0.013209472816416318,0.053466002298780846,0.01010112129886985,0.0,0.006129140056765691,0.010058835389941024,0.013336522769860642,0.013605462327556835,0.021450843787709353,0.0,0.017710695932938322,0.009705378849384452,0.15800707344035053,0.09805668008250978,0.010567135451353491,0.037054222860093175,0.006770177686140473,0.35565471202104487,0.006707263082475102,0.11488204712098016,0.007887831043445797,0.0
Ampicillin_AB,0.013005546384708896,0.00915180157959213,0.12729858175372974,0.0018637395197309437,0.2720007536375979,0.05176464308455832,0.005584397315326884,0.14463759699578482,0.004229732019743906,0.005980758001077639,0.01151058960335778,0.005846591138988817,0.004854515615349966,0.03484582247980368,0.0052545207775593055,0.0687698394832703,0.029358582215779076,0.039579341751384896,0.08146777313873127,0.02016718398965725,0.012837676030436972,0.01170676217800919,0.02463146895680371,0.013651782349016608,0.0
Aztreonam_AB,0.02101062620634112,0.008505801747658331,0.03895698634173336,0.008009390286261655,0.03811468698495349,0.01367758318554909,0.00391162641469852,0.006721757058462216,0.019294742425469302,0.017656969819402506,0.01422902704989508,0.02992391345630553,0.004596069692726263,0.013473197721461685,0.016207292750985293,0.23834547236855963,0.32883642437067456,0.0054707052775330904,0.05199843757306857,0.02906021832963112,0.01780961281024647,0.008830293253456915,0.044969790138499666,0.020389374736426515,0.0
Cefazolin_AB,0.00814260048384437,0.00721588852055814,0.021810826558168607,0.009124197843908055,0.009679244176148176,0.01595806689621075,9.028232813865436e-05,0.004670947933125281,0.011764960996315545,0.005699538883041736,0.0047013142244190335,0.009009414997180706,0.0,0.007099087832054903,0.008298203178309503,0.2072410860456912,0.07957602156564496,0.007747490789417045,0.07543466251821568,0.012210608444957015,0.020954667456464113,0.004051736639894098,0.46553550866491294,0.003983643023379576,0.0
Cefepime_AB,0.028030122749541673,0.010750338866990942,0.046647791263181526,0.0351874812112785,0.03766972030912591,0.059330799758633784,0.013569481924454231,0.012167207864870327,0.028346903333608068,0.03195839171584136,0.029378511940463644,0.2661305797053535,0.020437279781237327,0.049725560967076254,0.02306081820809857,0.030615048231934037,0.06684469382010226,0.028559203886590643,0.0229124441679104,0.041192565527596606,0.023175582791332135,0.03845108332194874,0.018168944816957862,0.037689443835871764,0.0
Cefotaxime_AB,0.00290325141257736,0.0017387997696205598,0.07854552247889271,0.016420366759489775,0.08832560446091534,0.019875438529048176,0.04097392580243435,0.0025258852938390775,0.007838238810632284,0.00734867886043937,0.03045919622785026,0.23446522790966828,0.04870552654635542,0.0774043797005414,0.01062584947043932,0.016455428625348056,0.07847357569647626,0.028631890337608962,0.12752967733656323,0.001331321322786059,0.0027344665453751847,0.03285453830159261,0.04171785798752116,0.0021153518139848605,0.0
Ceftazidime-avibactam_AB,0.02804969214875872,0.010327161159050099,0.010992472606182515,0.021764846169966216,0.019980827929668807,0.009521632160676644,0.0,0.012016624234409766,0.08549787539739245,0.02336015134270332,0.011553078515574569,0.010210614002446633,0.0,0.006053722456323785,0.010329977292791705,0.007063040389220703,0.005525571178525064,0.022361997805008416,0.06463067133533403,0.016963905928984793,0.01258283684577421,0.5830897933143216,0.01088444099422935,0.017239066792656597,0.0
Ceftazidime_AB,0.017749999947080514,0.011095220645691302,0.017579493591175173,0.008016561701047732,0.025885927112140238,0.009601721264758604,0.0029486787853642143,0.007403949227120982,0.010705488244427498,0.012751898984987162,0.008227446411687891,0.012992917740715527,0.003166539542109271,0.007360249779100719,0.008380458159666199,0.48626064268921765,0.18814399609496824,0.007315162637029945,0.03490648327500409,0.015196149608868007,0.014422716064105513,0.01747891225312094,0.061940455729496906,0.010468930511115568,0.0
Ceftolozane-tazobactam_AB,0.0662687165309242,0.10895284933381066,0.013213922876415183,0.013003787795515837,0.011742810417061326,0.006498191012095367,0.0,0.017051536578084732,0.020523029950118253,0.06213393605405253,0.01245685820301808,0.012913872751185818,0.0,0.009332384030565397,0.011291197975860473,0.020800277820295136,0.018417781897891804,0.4122666725943924,0.043203697493821316,0.018645099407185256,0.010512932677270246,0.0533611486043377,0.018562148306929517,0.03884714768916883,0.0
Ceftriaxone_AB,0.0056289582194016755,0.020634620936861515,0.014678452751459434,0.007388173923707759,0.02687632007933953,0.01806859656425258,0.0006002981915361524,0.004527291609054097,0.009950682999029698,0.01794734900946773,0.029650156642665668,0.04173913381627174,0.00020680198375943524,0.010471246567123572,0.004636120724862669,0.13346126768395478,0.03174861022226685,0.1042520061164454,0.04089519880447784,0.02429546997461362,0.09706978528061803,0.06408453282855699,0.28300586961655383,0.008183055453719529,0.0
Cefuroxime_AB,0.010515755568064084,0.015693578123066605,0.015148927046428985,0.010175491313708684,0.012150146322478048,0.02468438392463071,0.007433170256659769,0.0030124527497194103,0.005660979858136188,0.007616911010297549,0.008629040311476332,0.0073943054450523096,0.005641219250643547,0.006123925561404653,0.009938426694757552,0.09579189081493303,0.08253182330300088,0.01271230790722162,0.42552923750269034,0.010664522795623896,0.02015424434240614,0.007363498447627329,0.18947184274188966,0.005961918708082837,0.0
