,Tobramycin_AB,Cefuroxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Imipenem_AB,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Levofloxacin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.09749060437228997,0.014475145880578019,0.03194555713461186,0.04627413728088109,0.018040008982277245,0.026108201459518955,0.0213856111746193,0.016074257910397134,0.05063781280949966,0.02004015768786212,0.010628519540483342,0.03434754001983874,0.5932895835479963,0.008556933431067181,0.010705928768079187,0.0
Ampicillin-sulbactam_AB,0.0076271148098439505,0.1642268892799093,0.04585759984113563,0.01585536648089797,0.03065610239919189,0.01606967184480127,0.012789010031844947,0.016171938492895877,0.006127816094145791,0.01487941251867093,0.22553387084020604,0.025541514733012975,0.009442773886875627,0.373947857211526,0.0352730615350418,0.0
Aztreonam_AB,0.0547510174813903,0.030201896575914565,0.10738320281762634,0.05343651692292721,0.039636989202524425,0.15977852913017476,0.19878547315594777,0.03347949513049482,0.04289656439240449,0.04707576154701871,0.05967825100374149,0.04779736001156994,0.06679302469688261,0.012211535625666382,0.046094382305715983,0.0
Cefazolin_AB,0.0069145217755147564,0.09246260865298102,0.018631318571966163,0.007542506763012253,0.01028170423679381,0.014741655642279243,0.19101234367155917,0.03652569997547084,0.0032327669487360183,0.008220719476317157,0.14934791125019528,0.007202949357577134,0.005145929171107522,0.02889309958096295,0.41984426492552673,0.0
Cefepime_AB,0.08202328206288083,0.026027375898265214,0.3158137551753716,0.055271948719935224,0.05175909711343575,0.09486741807308377,0.028705211335579194,0.03059519475381424,0.044995587170403056,0.04789183346450724,0.06713758331964023,0.05963045383236294,0.05418700030725779,0.030062150826782368,0.011032107946680754,0.0
Ceftazidime_AB,0.019126465102828366,0.08460860272393014,0.04107977770422798,0.019258843464407663,0.0343835464665669,0.07782152115807242,0.4322137131719992,0.048939439682739935,0.010447881057203113,0.014974640648899189,0.08974951705576233,0.016219486466886004,0.012699987492717146,0.013049619572130085,0.08542695823162946,0.0
Ceftriaxone_AB,0.009609986550735701,0.15213162388439827,0.040869251550527744,0.012772276179949239,0.009884336399448832,0.027547887338103906,0.09699212738431376,0.012475606031166722,0.009294541091990214,0.009344158333154183,0.4755887284409259,0.011019698071668844,0.014996488373315785,0.08212082044998331,0.035352469920317556,0.0
Cefuroxime_AB,0.007530982225164578,0.43147460171965313,0.020723087801422322,0.012304879445660933,0.006186770941623632,0.014029893475713904,0.050140572858328195,0.030105995968104177,0.004066777477471721,0.015815445026299425,0.19862258153942716,0.01092792846694262,0.005486102255401741,0.10619015803317178,0.08639422276561476,0.0
Ciprofloxacin_AB,0.01758869025057743,0.059852800453454494,0.023769026159508412,0.016768981809893217,0.020334063286651896,0.017521637475106537,0.021230136697360687,0.465205408786317,0.008433083593808014,0.028343051045074133,0.0415579834248601,0.14936817039351602,0.01689243499466993,0.012144290034075099,0.10099024159512711,0.0
Gentamicin_AB,0.05914940735843545,0.009407323605903642,0.035038793169638295,0.6169253450576953,0.059281973501557936,0.02931936918755454,0.012198757126043232,0.020732066533434665,0.038628666378893964,0.023784286409129666,0.007991291997316297,0.02143664633462465,0.04835738388214148,0.009065140567054899,0.008683548890576057,0.0
Imipenem_AB,0.023149838319300696,0.014253508023931074,0.03280264040187611,0.030040527808081967,0.10441999329001657,0.01644079745360317,0.02424724128018704,0.011632439839954793,0.617246185043401,0.019776534336742653,0.011055667797795744,0.02122660044982627,0.05040207400515896,0.011998996070021296,0.011306955880102679,0.0
Levofloxacin_AB,0.021186610824748868,0.034653269299739574,0.04731487780994404,0.016600594592770343,0.03803908730543671,0.020139603424659827,0.01403484890692533,0.11117115528923267,0.019488502852636588,0.019208070979315157,0.015548236842368198,0.5695768004434915,0.03068411009081383,0.024791810317194803,0.01756242102072261,0.0
Piperacillin-tazobactam_AB,0.0433441626279811,0.05217799037784743,0.06749212154563282,0.055136237970842765,0.3522498182480305,0.04809434369846357,0.03691395925142319,0.04788781746635399,0.05857737725893419,0.04152766870378434,0.02407880692624695,0.07264743294941889,0.04240605989487864,0.04409030185102322,0.013375901229138558,0.0
Tobramycin_AB,0.5738028381182744,0.013440585188812443,0.09080999747776647,0.09036452630676414,0.03197604194998516,0.030949839868588895,0.012786607323366037,0.01072520912135326,0.025072832210744522,0.023999409432418503,0.010526822031247919,0.01812225459856917,0.04843197997926401,0.006376475803972692,0.012614580588872413,0.0
Trimethoprim-sulfamethoxazole_AB,0.036992683253090006,0.028464922443589304,0.05258932952572175,0.02845826674781293,0.05494908610572003,0.03470722226583273,0.02153739879912727,0.04306492009561562,0.03383871498208144,0.5167341882620877,0.023355167095064806,0.024325745623910384,0.03423627200055915,0.055102501321925734,0.011643581477861199,0.0
