,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Organism_Code
Amikacin_AB,0.11144739542122739,0.01923412659790284,0.017089231044599064,0.017637387654538927,0.012300357296184315,0.014632950787060587,0.015333679237388771,0.04634268488893227,0.01831778641742208,0.01407920556643661,0.06215532050985823,0.037928885124756076,0.5719710513933934,0.02910384630728327,0.012426091753016056,0.0
Ampicillin-sulbactam_AB,0.009700967319489568,0.16352114846734023,0.07671348958643098,0.04428355033387173,0.03991591180455531,0.13554396925533924,0.3655008723892246,0.034115141014680404,0.028896589503935807,0.005521531913187373,0.025550286656493337,0.006877889825020793,0.0235349532683936,0.029519018909319385,0.010804679752717768,0.0
Aztreonam_AB,0.05273845659399157,0.034587040609765154,0.02610381507307767,0.050777235029266204,0.1077995630669311,0.03991403441443266,0.1315221862274774,0.03613490371161818,0.200263218220325,0.03883124849246139,0.051635552914878355,0.03710112095946469,0.05806996330774647,0.09362713008728876,0.04089453129127542,0.0
Cefazolin_AB,0.018469791362327993,0.04285589711072424,0.09706284483226857,0.31709291126274347,0.08844923072522756,0.03801035515008286,0.14006905593106048,0.015125564419753053,0.13667919581558305,0.029571168975499378,0.020009143911434834,0.010063829466227128,0.021501429171654624,0.019111913361682505,0.005927668503730051,0.0
Cefepime_AB,0.09778651717879139,0.026935688570156782,0.03613579143045974,0.021906866486050537,0.05537185837216718,0.03938968084099256,0.04122132754150368,0.04764551578389144,0.13837987188332995,0.05974214223231692,0.06339189162347439,0.055594103971248233,0.06450222988449375,0.1989475002847928,0.05304901391633073,0.0
Ceftazidime_AB,0.02532204509818823,0.030623916146727027,0.030934198803393844,0.0430738707641998,0.14361358521453468,0.1603781404531658,0.21954096612920543,0.01983520482228872,0.18189373256213925,0.03004886562364787,0.030801819490749754,0.01163542627907172,0.03266736305054819,0.029576667519778367,0.010054198042361417,0.0
Ceftriaxone_AB,0.020571964857189554,0.027994746413691332,0.04413122548381446,0.06128630782159288,0.04988425995302828,0.0855256834878439,0.4487591798210663,0.01176799731790268,0.13445655358155562,0.01195043161832262,0.030445536116118763,0.010464354322430279,0.028232478432948602,0.024931991064741137,0.009597289707753615,0.0
Cefuroxime_AB,0.006133095684533291,0.12552459034790486,0.1588259458259339,0.10065609899467833,0.22809777577530138,0.09735426490148474,0.13822758527319962,0.007073339341541278,0.05147635424346662,0.004243241820704282,0.014859181439471108,0.007162543216846243,0.02118890079667822,0.019828165293890553,0.01934891704436563,0.0
Ciprofloxacin_AB,0.017404552819453207,0.03850196241534844,0.46937631746447983,0.10598061086473184,0.01651274856395918,0.06421366220444967,0.017000379685813187,0.13637034321327912,0.023104630966808665,0.01092265707388283,0.025312026205671936,0.007510230660815234,0.017387689440874793,0.03448685471612961,0.01591533370430247,0.0
Gentamicin_AB,0.04318746240162411,0.02001604792082129,0.05606221897534229,0.013142474449597081,0.017939418639181914,0.01372966317497638,0.017812589737044207,0.02237743764788807,0.022798332835717496,0.0318198446259059,0.5817941160654518,0.034910685784025224,0.059026184093881176,0.04126497361574715,0.0241185500327957,0.0
Imipenem_AB,0.017193462332733195,0.009901870884374218,0.012278370978492362,0.017898758205361624,0.02038569525095097,0.02082210748437653,0.01512091057887181,0.02620292149415813,0.019277353651277758,0.1319638508996335,0.027032082400343625,0.5971603055576453,0.03599929130056764,0.031048721744536538,0.01771429723667689,0.0
Levofloxacin_AB,0.016177481077839877,0.031633195718435037,0.08816854932973797,0.02539203524021865,0.025941984623283197,0.021168997072652143,0.02773572294816066,0.5228705077449763,0.04328655182834498,0.05301873714067186,0.029136908500828146,0.021672487915916028,0.04393274979925958,0.03332816906165198,0.01653592199802355,0.0
Piperacillin-tazobactam_AB,0.047901191238067214,0.024631866783040062,0.039024903311494025,0.0393121413908912,0.0736663205205187,0.04018770845751561,0.03095250634451128,0.0643613030401989,0.052004619316660824,0.32005429568997723,0.07130148999977994,0.06022943019134194,0.045210697292813,0.06022866380040046,0.030932862622789558,0.0
Tobramycin_AB,0.5366597038435861,0.019228828488139053,0.026004732087677354,0.015041681981522653,0.014591349241243862,0.012298196635828346,0.013998436577153665,0.014649784944615185,0.030094399800189457,0.02567279279693995,0.06068594920156222,0.029887254854897835,0.0900329680140454,0.08147629125889538,0.029677630273703272,0.0
Trimethoprim-sulfamethoxazole_AB,0.029274716246346567,0.0629125684821618,0.07359955955812462,0.015026088107899148,0.021273640112054737,0.0760133384726238,0.01989090501173934,0.026173648342810205,0.030945306797003986,0.03469818136660381,0.029481886207088574,0.026314438888350646,0.04102081032396036,0.05791433993166711,0.4554605721515653,0.0
