,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Organism_Code
Amikacin_AB,0.10235985564872187,0.014030553986077865,0.017363084580131298,0.016773336195889242,0.04089456549320533,0.023621306825512566,0.019627772161060472,0.026620040949127642,0.03666280106117116,0.025241720493374947,0.032133976766187566,0.019808055580663474,0.014223136761889675,0.5081507229302787,0.018453969085983693,0.016667725620965627,0.03183870537193663,0.007205946575656837,0.009711085491857948,0.0066209362162012175,0.004461768853415288,0.0024419633554792998,0.0013710247497872325,0.0037159452454243814,0.0
Amoxicillin-clavulanic acid_AB,0.012895037348151091,0.11380823500173007,0.05841674608095576,0.00021724098581638252,0.12488857207732304,0.0,0.0058972731254476034,0.002926021186975378,0.04967712486363941,0.038056220695018114,0.017654965045114143,0.005549112287999454,0.013138339510530443,0.018094934803256822,0.07158157447726138,0.04991249847961145,0.001788266239133818,0.03784143380733081,0.021808116899627323,0.1385040606255908,0.024296227416722486,0.1930479990427642,0.0,0.0,0.0
Ampicillin-sulbactam_AB,0.013526076643979982,0.06532318396528862,0.0887316487596293,0.04683672218499807,0.05351881090432071,0.44992460038736415,0.05602880128289142,0.012035690464388998,0.1030852698095723,0.02074891058077829,0.010506370467338,0.009325658101718034,0.00607124669362075,0.007273051153659246,0.009984354036917692,0.0069917054403375,0.007487290039400275,0.0,0.012651174475177468,0.0031013878333553254,0.006397746067297665,0.0,0.0019206427566143226,0.008529657951351834,0.0
Ampicillin_AB,0.011446522805464335,0.014810625907800088,0.06714530089507378,0.007425927906009832,0.026517641237378112,0.037275399369048584,0.024844112435382912,0.02802349016710179,0.010135946668228195,0.048589055856999186,0.0033179326505632946,0.04792612431542485,0.002810923781987696,0.010894669899344522,0.09830515569964465,0.36719898486680425,0.003413740884404764,0.018538895229327793,0.0016291213458324671,0.08160770032361005,0.00012989320159733533,0.06759350963650676,0.02012840186367684,0.0002909230527879644,0.0
Aztreonam_AB,0.0670579614564979,0.03914132226530714,0.01495337924704934,0.0206737688601435,0.1896969225295958,0.02765854326634282,0.037140028291944766,0.02029047121937632,0.3430166119730782,0.03148176644160049,0.018157349721186728,0.02681399249623985,0.01787899517827197,0.03651374245698508,0.0420598344248769,0.027064751126693397,0.0024862468307805356,0.00375793427529601,0.006772788479662813,0.008297748354393192,0.004502701910457095,0.005090537457418606,0.004352249399178458,0.005140352337622974,0.0
Cefazolin_AB,0.02169276137516517,0.11754104039067817,0.14054017217946183,0.2966202720096009,0.1198676891784275,0.02393426196382714,0.12348706471218332,0.007095460908313968,0.039188541181439954,0.01637312814335827,0.014103673364793224,0.014611493157335332,0.005369899067906709,0.0051396464289689605,0.013103448669332971,0.008014909917662075,0.005636655652793249,1.9215171532146934e-05,0.008718773780796002,0.009825086490814487,0.0038621771648822967,0.0,0.0016190734281060172,0.0036355556626203765,0.0
Cefepime_AB,0.051795350682145455,0.03498713439349169,0.020485460111576842,0.02116210119732736,0.022423971122298866,0.033603339370763236,0.028097638466481036,0.03260710518372774,0.0662471841323667,0.05632017497699273,0.03692035007071336,0.056509252702101415,0.02796136279957257,0.03593601936084065,0.23011912017313035,0.0312661822716218,0.006100921372791874,0.018079749390524175,0.013707233899281981,0.043603984794264326,0.0166455081432643,0.006184966670124918,0.04997485631524655,0.0592610323993501,0.0
Cefotaxime_AB,0.09793438228303324,0.07336035342909375,0.11269762935421765,0.009302660963461115,0.023904628929466785,0.002448925680444136,0.028192994434288104,0.007296906140616772,0.06380755850740244,0.08680939008261493,0.006192768864360477,0.004911308201469733,0.0008596287024657478,0.003602590841925429,0.13816001250601112,0.011980037675382062,0.007829839877247315,0.048636671536240475,0.0011296275179780817,0.12078796468570233,0.053294809302676625,0.0337830387490538,0.03273961957635295,0.030336652158494938,0.0
Ceftazidime-avibactam_AB,0.06034093005883553,0.02858591582584737,0.03252508986909802,0.024243086665901397,0.025262377647084982,0.01472951191308099,0.009679804012563319,0.013480997013181065,0.014682689701570365,0.046280931406868384,0.05122058701638832,0.033662015472858374,0.05265500763461675,0.04827543422111809,0.027838403029579316,0.011575640368533213,0.004205924612445961,0.0,0.04761248190635467,0.01996128555843117,0.007565174476550176,0.0,0.02241810989413301,0.4031986016949597,0.0
Ceftazidime_AB,0.02682210287274188,0.03300474972598509,0.01425224763811439,0.018895680866044318,0.4775995321070775,0.03178311374318516,0.041634452334030875,0.02579481666675755,0.17007852887028543,0.01885328841729881,0.006063389681876254,0.017765615140218672,0.008603935687717518,0.007922204213396239,0.011030830969681703,0.010175219267596212,0.009001044967926367,0.0050625187529377644,0.008942031418703419,0.011079073150672532,0.006221823714293841,0.003057596516242731,0.007168677840454258,0.029187525436761456,0.0
