,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Colistin_AB,Cefpodoxime_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Piperacillin_AB,Doripenem_AB,Organism_Code
Amikacin_AB,0.09156866084822349,0.03185072300322864,0.012616480305815178,0.010366625829849279,0.011927442301870494,0.007254058346490653,0.0073759896989818614,0.017640081366548738,0.010114821772001565,0.023351098143154298,0.03887274438299418,0.017477569072905347,0.013890172975024487,0.6080756649708543,0.010721526155387715,0.010854845102532377,0.00929514545827358,0.010397183141578536,0.013700335154820407,0.009067342244058234,0.012949246628642583,0.004997091078558602,0.006812510157844433,0.0010294852550507012,0.0013651466703475715,0.003867959100691421,0.0010115236673174442,0.0015485271669537187,0.0
Amoxicillin-clavulanic acid_AB,0.02121762512080644,0.04783786620918637,0.08772834908423455,0.005335993052066281,0.18065470966871372,4.237791336124456e-06,0.006541935339788042,0.0042626090033042905,0.010769226857050946,0.13362135072229037,0.025728194609426387,0.017953352749355337,0.01060554484070957,0.00947537600455397,0.009175725229930376,0.012871279952301314,0.007379129453856721,0.30884850708379563,0.015550808236507282,0.05019298751431553,0.015539094600511297,0.017699923432294602,0.0001716223747427103,0.0,4.386126194748011e-18,1.62946802422338e-05,0.0,0.0008182563886799711,0.0
Ampicillin-sulbactam_AB,0.008375370178477948,0.0568434801851617,0.021138824826621556,0.0862697061121995,0.14631312706317162,0.37777945152006964,0.05774532924593409,0.021565037713264425,0.018639240728807085,0.013661710756545127,0.015513238126340204,0.01691460552442716,0.012966160278101664,0.01081856302096965,0.014410389953189807,0.016489147720904058,0.008549259944124681,7.974130205339107e-06,0.00967232882578318,0.015519228838221513,0.008487019086400607,0.0,0.004625676997871481,0.006645167422165333,0.028819266281521153,0.007696155993036781,0.010020787809031454,0.004513751717453066,0.0
Ampicillin_AB,0.013920444610991409,0.05343689640012195,0.03260267720699805,0.028833509527329652,0.33978857972466625,0.019391320346599718,0.10308482416104534,0.020901655385749087,0.023406801848430026,0.021199841478504164,0.007050570361325365,0.021387048030050704,0.016961520544365633,0.0068576347045357245,0.019288995142111194,0.012467151159486897,0.14723538975768824,0.0035462046128211244,0.0033090901359299394,0.04516536845474626,0.002702348045321368,0.014603539180365086,5.492371968519107e-05,0.006290825099241978,0.03070883928828354,0.00577354261651261,0.0,3.0458457093630858e-05,0.0
Aztreonam_AB,0.040664031824504426,0.05307040417845069,0.015895189595460074,0.0258610249260433,0.23485413008606648,0.028079338293439705,0.015916756352177427,0.018579286627721854,0.32458312691363206,0.0180598670865977,0.01946400839664941,0.021574754526862215,0.01884272858018917,0.022230617367824605,0.029319296187722728,0.02178474410469976,0.008858417038224525,0.0061327617163921145,0.004404770493657209,0.0167928340471863,0.01226500577349117,0.0020432982044841464,0.006524320687080546,0.005735857993799895,0.012500270535864945,0.007183143507802905,0.003322424124563767,0.005457590829410882,0.0
Cefazolin_AB,0.01069749658866495,0.053432566193319285,0.014739736649410525,0.3541319518499977,0.28112736603893784,0.01162242544949578,0.027882390037647243,0.005681458133461914,0.0287912254032031,0.004327584804716208,0.010514220489261353,0.008183934918979511,0.00506229469879797,0.007247007123003152,0.007549543988303801,0.007454059066436998,0.0039606740062568,0.000135819218711564,0.009867647192393636,0.10104465860905663,0.006612275918805831,0.0,1.740263765692674e-05,0.00476602957963395,0.02870915626895614,0.006402048408501242,0.0,3.9026726389845384e-05,0.0
Cefepime_AB,0.04849076579773889,0.0322961098675235,0.02309351460156047,0.01968694393622246,0.01895126752708453,0.02502437372324935,0.0231753615389641,0.030122270587348052,0.062171569829296475,0.03411242923310796,0.03924386749930282,0.04175690701865212,0.028264138372492104,0.03446282114891468,0.29094064939855946,0.04004548890336464,0.011842245253885584,0.00997970286822951,0.012696761964544025,0.061170203326237085,0.019469393528790402,0.01503402772913431,0.007347942155583596,0.01387250317003007,0.01570831530739719,0.029187644391281374,0.0038847835059490597,0.007967997815556,0.0
Cefotaxime_AB,0.01129522228152688,0.009445064616952034,0.020445275430103528,0.0044369891910285685,0.13092552507364125,0.008253917661590353,0.06718938616438981,0.006330519703962031,0.05109183837707257,0.006108096410587885,0.004825603880419933,0.012984523525206298,0.0049947424667738044,0.01901997796995141,0.07525018351304993,0.0156866099684412,0.0033659944872408915,0.020013124186867327,0.008633502775387825,0.36288286481986676,0.007348680877149658,0.013305443309377898,0.005326093040326517,0.010755198126862965,0.04022618286455423,0.06039525789834338,0.006780661203820765,0.012683520175504042,0.0
Cefpodoxime_AB,0.007790924992993236,0.007031972677229115,0.006507936440476342,0.004242673954276622,0.014881999555137936,0.117266845057904,0.2099534758198906,0.0071720406448825425,0.043032001363353806,0.03667618633355779,0.002281677469314967,0.05110373338510264,0.004928263485275845,0.04620278499888568,0.0029036806763074975,0.009896067410692155,0.0029401961620994527,0.0,0.003347519213378791,0.1341701603947761,0.002390612066643116,0.0,0.05947457382530398,0.01497184088407896,0.004469968890635014,0.004395609384538958,0.059873858550517245,0.14209339636274762,0.0
Ceftazidime-avibactam_AB,0.005342804249250456,0.010055347244088492,0.02045570178821994,0.006599207403571982,0.015069403886847106,0.006551125019192951,0.03161528139407685,0.020612769277728298,0.04819673216395465,0.031118911557484835,0.025958108495987873,0.014424786611987376,0.017203714215524305,0.017548143215948185,0.013278856536428359,0.01618292921047814,0.004414823786539188,0.0010569364607131405,0.036628429409769896,0.004412279045378591,0.00965261459178931,0.0,0.0005171078452353989,0.008203748003910483,0.03397980003886401,0.6009204385470301,0.0,0.0,0.0
