,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Cefpodoxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Piperacillin_AB,Colistin_AB,Doripenem_AB,Organism_Code
Amikacin_AB,0.01357781302853275,0.016670844422123254,0.028431936124588275,0.014535019503918082,0.029434231778471834,0.0105452074549404,0.0025953415031612463,0.006626610709551681,0.011000344400139372,0.06160468938177448,0.5758112470526846,0.006268314680063879,0.009901415887315792,0.002309216906117689,0.010310094865668995,0.016229936205507563,0.01966293416854647,0.006596622735304349,0.0011288533481029234,0.1024116054160609,0.012400392001365463,0.003957519414911913,0.0029490996642969535,0.004769838410755229,0.01823017087165232,0.0024233327377896664,0.0033332052745601495,0.006284162052093815,0.0
Amoxicillin-clavulanic acid_AB,0.011028515938829225,0.02191842709542534,0.009616478049446726,0.018414752750597438,0.07871974028492153,0.025591651952741178,0.0,0.3703655038714671,0.01798081175240788,0.05909105077902194,0.016796979801655783,0.003618233581990179,0.013189673915762668,0.020649822422096245,0.001252819366071336,0.048863441363317175,0.215547868386607,0.00838639416935451,2.9928386306357974e-18,0.036303766764878745,0.008378345130749584,0.0001442623911144699,1.3188134003115141e-17,0.006295080327276104,0.0038595928186814406,0.0,0.001999788141476994,0.0019869989441094896,0.0
Ampicillin-sulbactam_AB,0.009044678753772236,0.010121291743014807,0.022618115869458826,0.01700943077232386,0.028327581873437275,0.03166757939758571,0.007703169305425604,9.168099308492169e-05,0.003466982175699851,0.06233836380849621,0.011878406450482198,0.00851522136644918,0.023756033538647026,0.0,0.006037283354956376,0.020700517111201716,0.06777654390757684,0.023314024724843736,0.0038862561384842924,0.03398831869569124,0.013833896857414773,0.39971316886966335,0.01167693701762079,0.13947880452211156,0.009320993860029093,0.011193387132121625,0.009874564241604133,0.012666767518802833,0.0
Ampicillin_AB,0.005079981674231727,0.014111119711020092,0.004257444011793286,0.005022912815523293,0.020623871312477414,0.26146089494727764,0.002005549595378207,0.01022655793987213,0.12835107642454463,0.0027469087279327737,0.004048828621306079,0.0794406990711064,0.010768832479189154,0.004042764701240508,0.052239811763541574,0.011741600473423658,0.17751364864051974,0.01978624457165366,0.013768434120851169,0.03145565823639736,0.050008231292523436,0.01832866906130172,0.005555077939990489,0.04152566378995631,0.02561861782306333,0.0,0.0002315263226000198,3.937393128394419e-05,0.0
Aztreonam_AB,0.011847754751111465,0.006934140758863222,0.03648372650326077,0.02129182470459147,0.013157274234673923,0.027701333470756952,0.015501451865333627,0.010124110982072162,0.006391489454232284,0.007695856192986995,0.01151928042547324,0.0099182832910409,0.02318123044061953,0.004581874013151184,0.005085321428901359,0.015628850930313958,0.21310566778850415,0.4286894742084043,0.0044411912410205635,0.03012381062711115,0.007735156027758306,0.013088926346916545,0.00680206770297466,0.033420817481045785,0.004859221654030681,0.01402551692634083,0.007611833577179121,0.009052512971330676,0.0
Cefazolin_AB,0.0045043499434321505,0.006198347208380951,0.019683010011700648,0.011150916823070614,0.007464261536297951,0.05362740995034905,0.002954015626289706,0.0013927523812749332,0.0023673651090548803,0.05612818030972008,0.006927380559930857,0.004981214858972782,0.005519205659439235,0.0,0.011755546759884258,0.00492661905378851,0.2616505376866215,0.016150581484862384,0.004930042797140893,0.06046213303612573,0.00792589837552196,0.019522518109362327,0.004261989249757826,0.41973936441731824,0.004800523448253593,0.0,0.0008191685715423963,0.0001566670319064738,0.0
Cefepime_AB,0.015260795143878157,0.011560912435642706,0.014370925987939466,0.026918168015103328,0.029442415969904108,0.049712833131740575,0.007205612543056953,0.021284161946335152,0.014287484184179652,0.015474875418270112,0.014514273720076683,0.011336466794666095,0.4055829345592792,0.027983588269889385,0.006861688511605511,0.020753527448574206,0.024404133739903112,0.06028196014570457,0.009535783078595313,0.023847952307880185,0.04878610299607902,0.01769901241246389,0.04763872621102695,0.01623228922508964,0.011944070840269907,0.015528389324519686,0.01896569082153974,0.012585224816786625,0.0
Cefotaxime_AB,0.0038194809060099044,0.009795388602930916,0.01353247103076816,0.008525991774426535,0.004308523502374619,0.2880633785506534,0.03649937015907531,0.011216872234016777,0.024639864804119255,0.01880228378905434,0.012386230490551495,0.03839041194068012,0.24809470786982943,0.001666911330407473,0.0008036565076591318,0.017205841004396833,0.09724867974266105,0.021871253228938625,0.025994994484920896,0.022157373759943606,0.004684921506361486,0.021214229320690066,0.03524782464397451,0.011225841200934245,0.0026494115573619977,0.005145559624742514,0.005544917096322983,0.009263609336194342,0.0
Cefpodoxime_AB,0.006848095396575195,0.0024791283361879873,0.013906584390562537,0.007969995481771894,0.0024253137009400895,0.37046671995854435,0.08730530295826867,0.0,0.004631453821943706,0.0019521564506611727,0.006452287840648843,0.128920628101798,0.029743802703636954,0.0,0.0004028513088835314,0.0036062765702087503,0.010836613145515712,0.01336924256135902,0.0032960185153161543,0.002590749273183867,0.038930841891344235,0.0387741424928302,0.003371811256843123,0.00379299183096229,0.003189386849269454,0.055485573869792776,0.10840489540313986,0.05084713588981156,0.0
Ceftazidime-avibactam_AB,0.01829025122336511,0.018852471879621295,0.008763125386437046,0.011477175274144264,0.03351735436078568,0.0066753866817486525,0.005389797148199257,0.0002009831756058508,0.008032607704114165,0.037574713073250846,0.023271913248381286,0.006868460194654981,0.011133330514278708,0.0,0.005666762742592423,0.007699333745057939,0.014138771414109873,0.011611288222234738,0.025074039557604077,0.010808866409805953,0.017990234923091472,0.014720732668033941,0.6726391236477174,0.009214401028401414,0.011976215957654465,0.0,0.008412314189367153,3.4562974199063777e-07,0.0
Ceftazidime_AB,0.006816474192048002,0.007223063451354818,0.017169689019210774,0.012463744542676833,0.027131639864611957,0.014383708482063072,0.007387604284383028,0.007272013928795208,0.0067341240191116335,0.02436147347327606,0.014220461701752892,0.0071704829013374705,0.010826424769007883,0.003260404830010045,0.005067772868957149,0.008468324841932055,0.5543765192138433,0.10703822612988322,0.0031642228593150796,0.08446763777155022,0.01111937428765676,0.012014249547786708,0.005703617006490787,0.007419354076875955,0.007414986797463259,0.01240391422581715,0.008698107494239734,0.0062223834185488125,0.0
Ceftolozane-tazobactam_AB,0.0350281427187838,0.05289216568178304,0.024667765300517445,0.039714738655932474,0.04101644703558818,0.014010046246205977,0.011042855831007772,0.00012772149273324246,0.00998860787677924,0.01659709694233799,0.08363853047078297,0.014326029583183804,0.024889583004645173,0.0,0.004581462936711618,0.019992639624303442,0.019766795143210024,0.017393545461612505,0.28558648387197116,0.013065224289967474,0.10001883438530249,0.026946096639759973,0.0781529563698927,0.028804091590346033,0.037623516945943486,0.0,0.00012862190069790522,0.0,0.0
Ceftriaxone_AB,0.005271874903690818,0.018061547378122263,0.01150659771401048,0.011054092337766861,0.006291322490775733,0.297612473160523,0.039078880734326554,0.00722374313310563,0.01591953844622864,0.00353794446823369,0.006732048142584414,0.18890053364712645,0.006093764673893507,1.8269783509682963e-05,0.000546860934456336,0.011304571492258313,0.13541682960266244,0.003015619580915311,0.06812063018429773,0.0033633108853274533,0.0024349568269890947,0.03083239899853695,0.03919025605062887,0.041976314896177785,0.011675737848837839,0.010939315238845927,0.007264571138600146,0.016615995307568014,0.0
Cefuroxime_AB,0.015406191512034288,0.007327165300854139,0.015953195808801862,0.014385688364311993,0.01779204860362274,0.02062690882385914,0.04116776952046996,0.021266059259035394,0.013036065799474854,0.010622678070303482,0.01081028640958713,0.03913946921732283,0.018070487312725245,0.002107936650545262,0.005160135921307655,0.011794399679147936,0.05306411889048433,0.02835811720579961,0.004542199279562282,0.28675023559648927,0.011827561486581624,0.07324942827279753,0.008090949999961811,0.0875279384197084,0.011398841916423257,0.02749824338234514,0.035965951365575746,0.1070599279308671,0.0
Ciprofloxacin_AB,0.01828388066830864,0.02140455013241187,0.013142710359339681,0.01741210511430164,0.030296254384752447,0.024107961761185615,0.009039002313354829,0.021310888532582475,0.012773103447853606,0.05379446325789668,0.03473722374972178,0.010719906059609596,0.013494895515075055,0.007628476976990099,0.007644980927016326,0.27427900655262694,0.04121000259582706,0.01686361672431954,0.11317022261498097,0.028303609802640326,0.02514023648634428,0.009926593320456915,0.10430166819177969,0.014778341245392991,0.015197404046734173,0.013690854102583399,0.038080546716891366,0.009267494399022098,0.0
Colistin_AB,0.0410521310339073,0.024885311536587903,0.05167749779395668,0.04125246835165132,0.012678356475097106,0.013807625874764164,0.032573360967710595,0.02090647201332429,0.006279699795822968,0.042088172826862016,0.05316099568367015,0.07073574111553288,0.036887601650153964,0.0,0.010264457826154922,0.023805961604270228,0.035412892511480075,0.01465378415197506,0.0003878036596796649,0.07742531890960905,0.024473867539165837,0.020741548258248275,0.011427798172557572,0.011897957933718999,0.044519599628822584,0.11135752795246406,0.12136656600652218,0.044279480726290225,0.0
Doripenem_AB,0.017478854690965478,0.003259687252838767,0.007799306978195348,0.010015469871593095,0.005253911651119866,0.006813756472625821,0.010372507723680927,0.15659165537696795,0.15563566455730593,0.02192683286610054,0.015015608199955252,0.02060809334845914,0.011794702734455766,0.0,0.005240364566224714,0.007473955012765068,0.0462370584723189,0.018863361957233073,0.0,0.08071241649055094,0.017429781786726294,0.011102276485235422,8.067931262476328e-05,0.1852879520849034,0.031143089446597348,0.016568413751723784,0.01839297316055715,0.11890162574827541,0.0
Ertapenem_AB,0.06339934559506971,0.2027163702112147,0.008698076735004829,0.006006964982455544,0.007571761332189578,0.01091686091559389,0.05043144927471842,0.017897200262322964,0.03006194461557129,0.014974360359528423,0.030069651446971116,0.0099702128191464,0.008174307775789712,0.0005902446118145806,0.002410830016989814,0.02160860715903285,0.007979799324087843,0.004888797735782956,0.05856035599184542,0.010429124864130212,0.1517377318451371,0.013132587955109302,0.22568148667320986,0.0212831740316774,0.011184355089769534,1.9065734792882768e-17,0.0034321160980500974,0.006192282277786356,0.0
Gentamicin_AB,0.011452763820056548,0.014020653189698275,0.09203971618743383,0.009477882606133057,0.016807913116282523,0.009177545210410346,0.001561612923346087,0.004228862887305866,0.007638292831202561,0.640386940782836,0.015784355686867178,0.006130025673269935,0.006448960615919167,0.0021906615792452178,0.014692740686984049,0.01558581724664563,0.03682415244638579,0.007200171421275135,0.0038732779833737423,0.02069519256505989,0.010038519306567753,0.005595525929718602,0.008512689893355822,0.011756387386016566,0.004502706455836706,0.0033280963275301037,0.013447279578436184,0.006601255662807682,0.0
Imipenem_AB,0.11715479178612885,0.11855606054074899,0.005366214943747012,0.007906330237417004,0.012189523750316102,0.022953825762796976,0.00328873629710063,0.008278203749106403,0.015885357797525236,0.008396410445532448,0.04107839006739586,0.008562179910782435,0.006357654115227568,0.00020422662468779705,0.00723556150879444,0.008992408211457283,0.01223063548430503,0.009294470962578065,0.059523919219107546,0.028936998594836155,0.25118693580409845,0.004889458006888095,0.16470289752384504,0.012063498861759992,0.019068938424975562,0.006344554421177349,0.008729477667904169,0.030622339279759547,0.0
Levofloxacin_AB,0.013688983669539261,0.08036974059059226,0.009373501489805558,0.022024806375905186,0.016701966735537088,0.015649965948263154,0.0077017771438739925,0.005673221100852794,0.017579762049382913,0.021035601440396467,0.03963699574107707,0.014504889990160745,0.0229747144998249,0.0,0.0042661413973783,0.019128690809688542,0.031012681046163025,0.032889123944874324,0.02445596672144186,0.0176211419441403,0.02939540467432556,0.02371674700119382,0.023219578012341348,0.01633983183823677,0.44201094292310483,0.015743911245557157,0.006427312656465012,0.02685659900987776,0.0
Meropenem_AB,0.27275640074975227,0.030928340900336422,0.01019951270725038,0.029645121169843254,0.01027246523952624,0.006848710412720834,0.0034023922332844666,0.017923016636045223,0.02067096337466005,0.007110830981416379,0.02183449527785336,0.012156769038492693,0.007065316412083985,0.0007555104017660365,0.006187448374321537,0.009530798107844612,0.009774161403846786,0.0053956561127539975,0.10394999944478374,0.007656137793970446,0.03703555573013774,0.004103829470120515,0.27830891405450375,0.018521871472358013,0.02051167845114879,0.000702923882154682,0.022083998477817036,0.024667181689206712,0.0
Piperacillin-tazobactam_AB,0.016746188405375236,0.015076375118546599,0.04873516170414893,0.018684351544004517,0.3757118696639801,0.02002854072624572,0.01226465029716534,0.03326721704637488,0.018648882925117446,0.029161433439580962,0.029932741690167852,0.009120104800296703,0.01573487511396245,0.002752474037591333,0.0027099960575012096,0.03115229035500782,0.026756218238623054,0.013067093320809964,0.011635050039544795,0.12107451961215407,0.024362941901954385,0.01820936112850462,0.008069208845099528,0.00890764363011561,0.015573111927834938,0.04577815792310244,0.006395243402984292,0.02044429710420506,0.0
