Antibiotic,S,R,Total
tobramycin,528,1047,1575
cefuroxime,78,1418,1496
ciprofloxacin,145,1430,1575
cefazolin,66,1509,1575
ceftazidime,121,1454,1575
ampicillin-sulbactam,75,1500,1575
ceftriaxone,122,1453,1575
levofloxacin,306,1269,1575
aztreonam,198,1354,1552
piperacillin-tazobactam,248,1327,1575
gentamicin,703,872,1575
Imipenem,1155,420,1575
meropenem,1575,0,1575
amikacin,1148,427,1575
cefepime,504,982,1486
trimethoprim-sulfamethoxazole,294,1281,1575
ampicillin,0,1575,1575
