,precision,recall,f1-score,support
PHOENIX,1.0,0.9777777777777777,0.9887640449438202,315.0
UNKNOWN,0.0,0.0,0.0,0.0
VITEK,1.0,0.9411764705882353,0.9696969696969697,170.0
accuracy,0.9649484536082474,0.9649484536082474,0.9649484536082474,0.9649484536082474
macro avg,0.6666666666666666,0.6396514161220043,0.6528203382135966,485.0
weighted avg,1.0,0.9649484536082474,0.9820807402181199,485.0
