Sample_ID_IfH,Organism_Code,meropenem,cefoxitin,ertapenem,tobramycin,tigecycline,piperacillin/tazobactam,cefotaxime,cefpodoxime,cefpodoxime_clavulanic_acid,amoxicillin/clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,chloramphenicol,streptomycin,cefepime,trimethoprim,trimethoprim/sulfamethoxazole,norfloxacin,tetracycline,ciprofloxacin,nitrofurantoin,ceftazidime,azithromycin,sulfamethoxazole,aztreonam,ceftolozane/tazobactam,cephalothin,cefotetan,cefuroxime,imipenem,ampicillin/sulbactam,ceftazidime/avibactam,cefazolin,nalidixic acid,levofloxacin,moxifloxacin,trimethoprim/sulfobactam,cefalotin,ticarcillin/clavulanic acid,piperacillin,colistin,fosfomycin,netilmicin,beta-lactam,ticarcillin
573.42881,EKP,<=25,<=4,<=12,=2,=1,<=4/4,=32,>=8,,,>=32,>=16,<=2,=32,,,>=32,,<=1/19,,>=16,=2,=64,<=1,,,<=1,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.40427,EKP,<=25,<=4,<=12,<=1,<=5,=64/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,<=25,=128,<=1,,,<=1,<=25/4,=8,<=4,=2,<=25,>=32/16,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.40402,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,<=25,=64,<=1,,,<=1,<=25/4,=4,<=4,<=1,<=25,>=32/16,=25/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.41985,EKP,>=16,>=64,>=8,>=16,=2,>=128/4,>=64,>=8,,,>=32,=8,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,>=512,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=8/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42958,EKP,>=16,>=64,>=8,=8,>=8,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=256,=16,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
1438798.3,EKP,4,,>=8,,8,,>=64,,,,>=32,<=1,<=2,,,,,,>=320,,,>=4,,,,,,,>=64,,,2,>=32,,>=64,,>=8,,,,,,,,,,
573.18472,EKP,>=0.25,<=4,<=0.5,>=16,,=16/4,,,,>=32/16,>=32,<=1,<=2,>=64,,,=2,,<=16/304,,>=16,<=0.25,=128,=16,,,,,,,,,,,,,<=0.12,,,,,,,,,,
573.41935,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,<=1,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42923,EKP,>=16,>=64,>=8,>=16,=2,>=128/4,>=64,>=8,,,>=32,=8,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,>=512,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=8/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.43104,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,<=1,=16,>=64,,,>=32,,<=1/19,,>=16,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.24264,EKP,=8,>=64,,>=16,,>=128/4,,,,>=32/16,>=32,>=16,=16,>=64,,,>=64,,>=16/304,,>=16,>=4,,>=64,,,,,,,,,,,>=64,,>=8,,,,,,,,,,
