Sample_ID_IfH,Organism_Code,meropenem,cefoxitin,ertapenem,tobramycin,tigecycline,piperacillin/tazobactam,cefotaxime,cefpodoxime,cefpodoxime_clavulanic_acid,amoxicillin/clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,chloramphenicol,streptomycin,cefepime,trimethoprim,trimethoprim/sulfamethoxazole,norfloxacin,tetracycline,ciprofloxacin,nitrofurantoin,ceftazidime,azithromycin,sulfamethoxazole,aztreonam,ceftolozane/tazobactam,cephalothin,cefotetan,cefuroxime,imipenem,ampicillin/sulbactam,ceftazidime/avibactam,cefazolin,nalidixic acid,levofloxacin,moxifloxacin,trimethoprim/sulfobactam,cefalotin,ticarcillin/clavulanic acid,piperacillin,colistin,fosfomycin,netilmicin,beta-lactam,ticarcillin
573.43102,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,<=1,=16,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,>=16/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40412,EKP,>=16,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,=1,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41981,EKP,<=25,<=4,<=12,>=16,=1,=16/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=64,=8,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.40382,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=4,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.44085,EKP,=1,=16,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=2,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40396,EKP,>=16,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,<=1,>=64,>=64,,,>=32,,<=1/19,,>=16,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,>=16/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.505,EKP,<=0.25,16,<=0.12,>=16,1,8,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,<=0.25,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.44125,EKP,<=25,<=4,<=12,<=1,=1,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.24287,EKP,<=0.25,<=4,<=1,>=16,,=8/4,,,,=16/8,>=32,>=16,=16,>=64,,,=8,,>=16/304,,<=1,=2,,=4,,,,,,,,,,,,,=4,,,,,,,,,,
573.41133,EKP,=8,>=64,>=8,=8,=4,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,>=16,>=4,>=512,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=2,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41134,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,=1,=8/4,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.40389,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=8,=1,=2,,,,,,,,,
573.40419,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.5826,EKP,<=0.25,>=64,<=0.5,2,2,16,16,,,>=32,>=32,<=1,<=2,,,,<=1,>=16,,,,>=4,,16,,,8,,,,>=64,,,,,,,,,>=64,,,,,,,
573.42953,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,=25/4,<=4,=4,<=12,<=25,,,,,,,,,
573.4042,EKP,<=25,>=64,,>=16,=1,=16/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,=128,=16,,,>=64,=1/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44097,EKP,=8,>=64,>=8,=8,=4,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,>=16,>=4,>=512,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=2,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44106,EKP,>=16,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,=1,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40364,EKP,<=25,<=4,<=12,=2,=1,<=4/4,=32,>=8,,,>=32,>=16,<=2,=32,,,>=32,,<=1/19,,>=16,=2,=64,<=1,,,<=1,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.40374,EKP,>=16,>=64,=1,=8,<=5,>=128/4,>=64,>=8,,,>=32,=4,<=2,>=64,,,>=32,,>=16/304,,=2,<=25,=64,>=64,,,=16,>=32/4,>=64,<=4,>=64,>=16,>=32/16,>=16/4,>=64,=4,<=12,<=25,,,,,,,,,
573.41173,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,=2/38,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
72407.521,EKP,>=16,>=64,>=8,>=16,1,>=128,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41112,EKP,<=25,>=64,<=12,<=1,>=8,=16/4,<=25,=2,,,>=32,<=1,<=2,=1,,,<=12,,<=1/19,,>=16,<=25,=128,<=1,,,<=1,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,<=4,>=32,=1,=4,,,,,,,,,
