Sample_ID_IfH,Organism_Code,imipenem,amikacin,tetracycline,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim/sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin/tazobactam,tobramycin,cefoxitin,colistin,cefotaxime,cefalotin,cefuroxime,ampicillin,amoxicillin/clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime/avibactam,chloramphenicol,cefotetan,cefpodoxime,ceftazidime/clavulanic acid,minocycline,cefmetazole,ceftriaxone,cefoperazone/sulbactam,doripenem,cefozopran,ampicillin/sulbactam,piperacillin,imipenem/relebactam,cefepime_taniborbactam,ceftolozane/tazobactam,ceftaroline,cefazolin,polymyxin B,trimethoprim_sulfamethoxazole,piperacillin_tazobactam,extended spectrum beta lactamase,cefotaxime/clavulanic acid,doxycycline,nitrofurantoin,cephalothin,ofloxacin,kanamycin,nalidixic acid,carbenicillin,penicillin,streptomycin,erythromycin,neomycin,spectinomycin,rifampin,cefiderocol,ticarcillin/clavulanic acid,trimethoprim_sulfonamide,amoxicillin,aminogycosides,fluoroquinolones,beta-lactam,trimotheprim,cefoperazone,florfenicol,sulfamethoxazole,ceftriaxone/cefpodoxime
573.29955,EKP,>8,8,,>4,,128,,,,,,,,,<=1,,,,,,,1,>128,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.4172,EKP,0.12,,4,0.25,,,,,,,1,4,,8,,0.029999999,,4,,16,0.25,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
72407.2737,EKP,<=0.5,,,,16,<=0.5,,>2/38,,16,,<=4,>8,,<=1,>128,,4,,,16,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,<=8/4,<=0.5,>16,32/16,8,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.29934,EKP,>8,16,,,,64,,,,,>2,,,,>8,,,,,,,1,,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24277,EKP,,,,,>32,,,>8/152,>8,>64,>8,>128/4,,=16,=1,>128,,,>32,>32/16,>128,=1,,,=8,,,=128/4,=8,,>32,,=4,,>32/16,,,,,,>16,=1,,,,>128/4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2796,EKP,,,,<=1,,<=0.5,>8,>2/38,,8,>4,,8,,<=1,>128,,<=2,,,4,1,<=4,,<=8,<=1,>64,<=0.12,2,1,>64,<=8/4,<=0.5,>16,16/8,<=4,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.31603,EKP,,>64,,,,>16,,,>=8,,,>=128,,,>16,>=64,,,>=32,>=32,>=64,4,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<=20,,,,,,,,,
573.46844,EKP,,,,>8,,,,>8/152,2,,>1,>128/4,,,<=0.5,,,,,>64/2,>64,=0.5,>128,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,0.5,,,,,,,,,,,
573.46402,EKP,,2,,,128,2,,,,,,,,,,>256,,,,,>256,4,>256,,,,,,32,,>256,,,,,256,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,
72407.241,EKP,,>32,,,>16,<=0.5,,,>4,>16,>2,>64,8,,<=1,>128,,16,,,>16,0.5,16,,>16,4,>64,2,>8,8,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,1,,,,1,16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2251,EKP,<=0.5,<=4,,<=1,,<=0.5,<=0.5,,,,,,<=1,,<=1,>128,,16,,,>16,4,16,,>16,<=1,>64,1,>8,4,>64,<=8/4,<=0.5,>16,16/8,<=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.239,EKP,>8,,,>8,,,,,>4,,>2,,,,>4,>32,,,,,>16,1,,,,,,,8,,,,>2,,,,,,,,,>4,,,,,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.4225,EKP,,,256,32,,,,,,,128,,,4,,512,,256,,16,16,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.24251,EKP,,,>32,>16,,>8,>8,,,>64,>8,,,>16,=0.5,>64,,,>32,>32/16,>128,=4,,,>16,,,>64/4,>16,,>32,,>8,,>32/16,,,,,,>8,=0.5,,,,>32/4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2653,EKP,<=0.5,<=4,,,,,<=0.5,>2/38,,>16,,64,,,<=1,>128,,4,,,>16,<=0.25,<=4,,<=8,<=1,>64,,<=1,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2214,EKP,,<=4,,<=1,,,,>2/38,,,,<=4,<=1,,<=1,>128,,<=2,,,>16,<=0.25,<=4,,>16,<=1,>64,,<=1,1,>64,32/16,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2831,EKP,,,,<=1,2,,<=0.5,>2/38,,<=1,,<=4,<=1,,<=1,128,,<=2,,,<=1,1,16,,<=8,<=1,>64,<=0.12,>8,<=0.5,>64,<=8/4,<=0.5,8,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.65921,EKP,,,,,2,<=0.5,,<=1/19,,<=1,<=0.25,<=4,<=1,,<=1,128,,<=2,,,<=1,1,<=4,,<=8,<=1,>64,<=0.12,2,<=0.5,>64,<=8/4,<=0.5,>16,16/8,16,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.2006,EKP,,=16,>32,>16,,,>8,>8/152,,,>8,>128/4,>16,,=0.5,=128,,,>32,>32/16,>256,=2,,,,,,,,,>32,,>8,,>32/16,,,,,,>16,=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.248,EKP,1,<=4,,<=1,,,8,>2/38,,,,>64,<=1,,<=1,>32,,>32,,,>16,2,>16,,>16,8,>64,4,16,>32,>64,>32/16,>2,>16,>32/16,8,,,,,,>4,,,,>32,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.5768,EKP,32,<=32,1,<=1,>=64,>=8,,>64/128,,>64,>16,>128/,>=16,64,64,>32,,,>64,,>64,2,,,>64,,,,<=4,,,,,,>64/,,,,,>32,>64,>=32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.30011,EKP,>8,16,,<=1,,128,,>4/76,,,>2,,,,>8,,,,,,,0.5,16,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2873,EKP,<=0.5,,,,,<=0.5,<=0.5,,,<=1,<=0.25,<=4,,,<=1,128,,<=2,,,<=1,1,<=4,,<=8,<=1,>64,<=0.12,2,<=0.5,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66314,EKP,,16,,>=16,,>=16,,,,>=64,,,,,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29968,EKP,>8,,,,,,,>4/76,>1,,,,,,>8,,,,,,,1,>128,2/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.46374,EKP,>32,,,,64,,,,,,,,,256,,128,,,,,32,0.5,,,,,,,8,,256,,,,,>256,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
573.66449,EKP,,,,>=16,>=32,,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2673,EKP,,,,,,<=0.5,,,,>16,>4,8,>8,,<=1,>128,,<=2,,,8,1,16,,<=8,<=1,>64,<=0.12,4,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66361,EKP,,,,,>=32,,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66259,EKP,,,,,,>=16,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29936,EKP,,,,,,8,,>4/76,,,>2,,,,<=1,,,,,,,0.5,,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2672,EKP,,,,,>16,<=0.5,1,>2/38,,,>4,,>8,,<=1,>128,,4,,,>16,1,16,,<=8,<=1,>64,<=0.12,8,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2751,EKP,,<=4,,,>16,<=0.5,,>2/38,,,,<=4,<=1,,<=1,>128,,<=2,,,<=1,1,16,,<=8,<=1,>64,<=0.12,>8,1,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.249,EKP,>8,,,,>16,,<=0.5,>2/38,,>16,,,>8,,<=1,>32,,<=2,,,>16,1,<=4,,16,<=1,>64,<=0.12,2,<=0.5,>64,<=8/4,<=0.5,>16,8/4,16,,,,,,>4,,,,<=0.12,16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.65953,EKP,,,,,>16,<=0.5,<=0.5,<=1/19,,8,,<=4,,,<=1,>128,,4,,,<=1,1,16,,<=8,<=1,>64,<=0.12,8,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.268,EKP,<=0.5,<=4,,,,<=0.5,,<=1/19,>4,>16,,,<=1,,1,<=0.5,,<=2,,,>16,1,<=4,,<=8,<=1,<=0.5,<=0.12,2,<=0.5,<=0.5,<=8/4,>2,<=1,8/4,>64,,,,,,2,,,,<=0.12,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.5763,EKP,>=16,<=32,8,<=0.5,>64,>=8,,>64/128,,>64,>16,>128/,>=16,>64,64,>32,,,>64,,>64,>=4,,,64,,,,>=8,,,,,,>64/,,,,,>32,>64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2669,EKP,,<=4,,,>16,<=0.5,<=0.5,,,>16,2,,4,,<=1,>128,,<=2,,,16,2,16,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,16/8,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2371,EKP,<=0.5,<=4,,<=1,>16,<=0.5,,>2/38,,>16,2,,,,<=1,>128,,4,,,8,1,16,,>16,<=1,>64,<=0.12,4,<=0.5,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2596,EKP,,,,<=1,,<=0.5,<=0.5,>2/38,,,1,8,4,,<=1,>128,,<=2,,,>16,1,16,,>16,<=1,>64,,8,1,>64,>32/16,<=0.5,>16,>32/16,16,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24348,EKP,,<1,,<0.25,>=16,,,>8/152,,>64,,>128/4,<0.5,,=0.5,>16,,,>32,>32/16,>64,<=2,,,,,,=32/4,,,>32,,>=4,,,,,,,,>8,=0.5,,,,=2/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.65962,EKP,<=0.5,,,,,<=0.5,<=0.5,,,,,,<=1,,<=1,>128,,<=2,,,<=1,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,<=8/4,<=0.5,>16,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.46347,EKP,8,,,,64,,32,,,,32,,,,,64,,,,,32,1,>256,,,,,,8,,128,,,,,>256,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
72407.2288,EKP,<=0.5,,,<=1,4,<=0.5,<=0.5,>2/38,,2,1,,,,<=1,128,,4,,,<=1,1,<=4,,<=8,<=1,>64,<=0.12,>8,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.65971,EKP,<=0.5,<=4,,,>16,<=0.5,1,,,,,,,,<=1,>128,,<=2,,,4,1,<=4,,<=8,2,>64,,<=1,<=0.5,>64,32/16,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66531,EKP,,,,>=16,>=32,>=16,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.4221,EKP,1,,,,,,,,,,,,,,,0.029999999,,4,,4,0.059999999,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
1284801.3,EKP,4,8,,>8,4,8,>8,>4/76,>4,>16,>2,>64/4,>8,,<=0.25,32,,,,,>16,0.5,,,,,,,8,,,,>2,,,,,,,,,0.5,,,,,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2797,EKP,,,,<=1,>16,4,,>2/38,,>16,>4,,>8,,<=1,>128,,32,,,>16,1,<=4,,>16,32,>64,1,>8,32,>64,>32/16,1,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.31621,EKP,,>64,,4,>=64,,,,,,>4,,,,>16,>=64,,,>=32,>=32,>=64,>=8,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>320,,,,,,,,,
574.106,EKP,<=0.5,,,<=1,>16,,<=0.5,<=1/19,,8,,<=4,,,<=1,>128,,<=2,,,<=1,1,<=4,,<=8,<=1,>64,<=0.12,2,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
574.104,EKP,<=0.5,,,>8,,,>8,>2/38,,,>4,32,>8,,>8,>128,,>32,,,>16,2,>16,,>16,8,>64,1,>8,>32,>64,>32/16,<=0.5,>16,>32/16,<=4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
574.88,EKP,<=0.5,<=4,,,,<=0.5,,,,,>4,8,,,<=1,>128,,4,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,<=8/4,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.15217,EKP,=16,=16,=4,,=32,,>8,>8/152,>8,,>8,,,>32,,>64,,,>64,>32/16,>128,,,,,,,,,,>64,,>8,,,,,,,,>32,=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2377,EKP,,<=4,,<=1,,2,,,,,>4,>64,,,<=1,64,,>32,,,>16,1,16,,>16,>32,>64,>32,>8,>32,32,>32/16,1,8,>32/16,>64,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2256,EKP,,<=4,,,,,<=0.5,>2/38,,>16,,>64,<=1,,<=1,128,,>32,,,>16,1,<=4,,<=8,32,>64,>32,4,>32,32,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
574.117,EKP,,<=4,,,>16,,<=0.5,,,>16,,,<=1,,<=1,>128,,8,,,>16,1,<=4,,>16,<=1,>64,<=0.12,8,2,>64,16/8,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2791,EKP,,,,<=1,,,,,,>16,4,8,>8,,<=1,>128,,4,,,>16,1,<=4,,<=8,<=1,>64,,8,2,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24345,EKP,,=32,,<1,,>8,,>8/152,,>64,>8,,>16,,=4,>64,,,>32,>32/16,>128,<0.5,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=4,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.31607,EKP,>16,>64,,,>=64,>16,,,,,>4,,,>=64,>16,>=64,,,>=32,>=32,>=64,4,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>320,,,,,,,,,
573.24366,EKP,>64,<=16,<=4,,,,>8,,>8,>64,>8,,,>=32,=0.5,>64,,,>32,>32/16,>128,<1,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=1,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2227,EKP,<=0.5,,,<=1,8,<=0.5,,,,16,,,,,8,32,,16,,,4,1,<=4,,16,<=1,>64,,4,8,64,16/8,<=0.5,16,32/16,64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66307,EKP,,16,,>=16,,>=16,,,4,,,,,>=64,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66081,EKP,1,,,,<=1,,1,,,,,,<=1,,<=1,16,,>32,,,>16,1,16,,16,>32,64,32,4,>32,8,32/16,<=0.5,2,32/16,64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.66493,EKP,,32,,,,,,,>=8,,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2821,EKP,,<=4,,,,,<=0.5,,,>16,,8,<=1,,<=1,>128,,32,,,8,>4,16,,>16,2,>64,1,>8,32,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
72407.153,EKP,>8,>32,,>8,>16,>8,>8,>4/76,>4,>16,>2,>64/4,>8,,>4,>32,,,,,>16,2,,,,,,,16,,,,>2,,,,,,,,,>4,,,,,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2843,EKP,,,,<=1,<=1,,,>2/38,,,>4,<=4,,,<=1,<=0.5,,4,,,<=1,1,16,,<=8,<=1,<=0.5,<=0.12,<=1,<=0.5,<=0.5,<=8/4,<=0.5,<=1,8/4,32,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.4146,EKP,0.5,,,64,,,,,,,,4,,4,,256,,256,,16,16,0.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
72407.2463,EKP,,<=4,,,,<=0.5,,>2/38,,>16,,<=4,<=1,,<=1,>128,,4,,,8,1,16,,<=8,<=1,>64,,4,1,>64,>32/16,<=0.5,>16,>32/16,<=4,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.31604,EKP,>16,>64,,,,>16,,,>=8,,,,,,4,>=64,,,>=32,>=32,>=64,2,>=256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>320,,,,,,,,,
72407.2602,EKP,,,,<=1,>16,,<=0.5,<=1/19,,16,<=0.25,,<=1,,<=1,>128,,<=2,,,<=1,1,<=4,,<=8,<=1,>64,,8,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.46877,EKP,,>32,,>8,>16,=32,>8,,2,,>1,>128/4,,,<=0.5,,,,,>64/2,>64,=0.5,16,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,0.5,,,,,,,,,,,
573.66468,EKP,,<=2,,,,,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66225,EKP,,16,,,>=32,>=16,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.269,EKP,>8,,,,>16,>8,,<=0.5/9.5,>4,,,>64/4,,,>4,>32,,,,,>16,0.5,,,,,,,4,,,,>2,,,,,,,,,>4,,,,,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.65937,EKP,,>32,,,,,,,,>16,>4,,,,<=1,>128,,>32,,,>16,>4,>16,,>16,>32,>64,32,>8,>32,>64,>32/16,>8,>16,>32/16,>64,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2249,EKP,,,,,>16,,,<=1/19,,16,1,,,,<=1,>128,,8,,,4,1,16,,>16,<=1,>64,,8,2,>64,<=8/4,<=0.5,>16,32/16,8,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.20061,EKP,,,<=2,,,,,,>8,<=2,<=0.25,,,,=1,=8,,,>32,>32/16,<=1,<=0.5,,,,,,,,,=2,,=8,,>32/16,,,,,,>8,=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2824,EKP,<=0.5,<=4,,<=1,>16,,4,>2/38,,,,,<=1,,<=1,>128,,16,,,>16,4,<=4,,>16,<=1,>64,1,>8,2,>64,32/16,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.29868,EKP,>8,>32,,>4,,128,,<=1/19,>1,,,,,,<=1,,,,,,,0.5,,<=1/4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2829,EKP,1,<=4,,<=1,>16,<=0.5,<=0.5,<=1/19,,>16,,<=4,,,<=1,>128,,4,,,4,1,16,,<=8,<=1,>64,,8,1,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2604,EKP,,<=4,,,>16,,>8,>2/38,,,>4,,,,<=1,>128,,4,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24346,EKP,,,,,>32,>8,,,>8,,,,>=16,>=32,=1,>64,,,>32,>32/16,>128,<=2,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=2,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.46404,EKP,,>256,,,128,,32,,,,,,,256,,>256,,,,,64,0.5,>256,,,,,,2,,>256,,,,,>256,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
72407.2745,EKP,<=0.5,<=4,,,2,<=0.5,,<=1/19,,4,4,,,,<=1,64,,16,,,<=1,<=0.25,<=4,,>16,<=1,>64,,4,16,>64,<=8/4,<=0.5,8,16/8,32,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2613,EKP,<=0.5,,,>8,>16,<=0.5,8,>2/38,,>16,>4,16,>8,,<=1,>128,,4,,,>16,1,16,,<=8,<=1,>64,1,<=1,4,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.235,EKP,,>32,,>8,,,2,>4/76,>4,>16,>4,,8,,<=1,>32,,>32,,,>16,1,16,,<=8,>32,>64,32,4,>32,>64,>32/16,>2,>16,>32/16,16,,,,,,0.5,,,,32,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.233,EKP,<=0.5,,,<=1,,1,>8,,,,>4,8,,,2,>128,,32,,,>16,2,16,,16,8,>64,2,8,32,>64,16/8,<=0.5,>16,16/8,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.66273,EKP,,<=2,,<=1,,>=16,,,>=8,,,,,,,32,>=64,>=64,>=32,>=32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.252,EKP,>8,<=4,,,>16,<=0.5,,>2/38,,2,,,8,,>4,32,,>32,,,>16,1,16,,>16,32,>64,>32,2,>32,4,16/8,>2,4,>32/16,>64,,,,,,>4,,,,16,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2866,EKP,,,,,,,<=0.5,>2/38,,>16,,16,,,<=1,64,,>32,,,>16,1,<=4,,>16,>32,>64,>32,>8,>32,64,<=8/4,1,8,>32/16,>64,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2443,EKP,<=0.5,<=4,,<=1,,<=0.5,1,,,,,<=4,,,<=1,4,,32,,,4,1,<=4,,>16,2,32,4,4,8,4,<=8/4,<=0.5,<=1,>32/16,32,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2246,EKP,<=0.5,,,,8,,<=0.5,>2/38,,,,8,,,<=1,8,,>32,,,4,4,>16,,>16,>32,32,2,>8,>32,4,<=8/4,<=0.5,16,>32/16,64,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.217,EKP,<=0.5,<=4,,,>16,8,>8,>4/76,>4,<2,,<=4,>8,,<=1,8,,4,,,8,0.5,>16,,<=8,<=1,>64,<=0.12,4,1,>64,<=8/4,<=0.5,>16,32/16,>64,,,,,,1,,,,<=0.12,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2478,EKP,<=0.5,,,<=1,<=1,1,,,,<=1,,,,,<=1,2,,>32,,,<=1,4,>16,,>16,8,4,1,>8,>32,1,<=8/4,<=0.5,<=1,16/8,32,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.5764,EKP,>64,<=32,<=0.5,<=0.5,>64,>32,,>64/128,,>64,>16,>128/,>=16,>64,16,>32,,,>64,,>64,,,,>64,,,,<=1,,,,,,>64/,,,,,>32,>64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.7032,EKP,=8,>64,>32,>16,>32,>8,=8,>8/152,=4,>64,>8,>128/4,>16,>32,=0.5,>64,,,>32,>32/16,=32,=1,,,,,,,,,>32,,>8,,>32/16,,,,,,>16,=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.20059,EKP,=4,,,>16,=32,=4,,>8/152,,,,>128/4,>16,>16,=0.5,=64,,,>32,>32/16,>128,<=0.5,,,,,,,,,=32,,=4,,>32/16,,,,,,>8,=0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2198,EKP,<=0.5,,,<=1,,,<=0.5,,,,<=0.25,,<=1,,,64,,<=2,,,>16,1,16,,<=8,<=1,>64,<=0.12,2,<=0.5,64,<=8/4,<=0.5,2,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
574.68,EKP,,,,<=1,,,,,,,1,,<=1,,<=1,>128,,4,,,2,1,<=4,,<=8,<=1,>64,,2,1,>64,>32/16,<=0.5,>16,>32/16,32,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1284821.3,EKP,>8,16,,<=1,>16,>8,>8,<=0.5/9.5,>4,>16,>2,>64/4,>8,,<=0.25,>32,,,,,>16,1,,,,,,,8,,,,>2,,,,,,,,,0.5,,,,,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
