Sample_ID_IfH,Organism_Code,imipenem,amikacin,tetracycline,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim/sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin/tazobactam,tobramycin,cefoxitin,colistin,cefotaxime,cefalotin,cefuroxime,ampicillin,amoxicillin/clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime/avibactam,chloramphenicol,cefotetan,cefpodoxime,ceftazidime/clavulanic acid,minocycline,cefmetazole,ceftriaxone,cefoperazone/sulbactam,doripenem,cefozopran,ampicillin/sulbactam,piperacillin,imipenem/relebactam,cefepime_taniborbactam,ceftolozane/tazobactam,ceftaroline,cefazolin,polymyxin B,trimethoprim_sulfamethoxazole,piperacillin_tazobactam,extended spectrum beta lactamase,cefotaxime/clavulanic acid,doxycycline,nitrofurantoin,cephalothin,ofloxacin,kanamycin,nalidixic acid,carbenicillin,penicillin,streptomycin,erythromycin,neomycin,spectinomycin,rifampin,cefiderocol,ticarcillin/clavulanic acid,trimethoprim_sulfonamide,amoxicillin,aminogycosides,fluoroquinolones,beta-lactam,trimotheprim,cefoperazone,florfenicol,sulfamethoxazole,ceftriaxone/cefpodoxime
72407.228,EKP,4,<=4,,>8,,,<=0.5,>2/38,>4,>16,>2,>64/4,>8,,<=0.25,128,,>32,,,>16,1,<=4,,<=8,>32,>64,>32,4,>32,>64,>32/16,>2,16,>32/16,16,,,,,,1,,,,>32,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.66262,EKP,,>=64,,,>=32,,,,>=8,>=64,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2384,EKP,,<=4,,,,,4,,,,>4,<=4,4,,<=1,>128,,4,,,2,1,>16,,>16,<=1,>64,,4,2,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2442,EKP,<=0.5,,,<=1,16,,,>2/38,,,>4,,8,,<=1,>128,,4,,,8,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.31602,EKP,>16,,,4,,,,,>=8,,>4,>=128,,,>16,>=64,,,>=32,>=32,>=64,4,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<=20,,,,,,,,,
72407.2568,EKP,,<=4,,,>16,,<=0.5,<=1/19,,4,<=0.25,,,,<=1,>128,,8,,,<=1,<=0.25,16,,<=8,<=1,>64,<=0.12,2,<=0.5,>64,16/8,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.29943,EKP,>8,,,>4,,128,,,>1,,>2,,,,>8,,,,,,,1,>128,2/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.4123,EKP,0.12,,256,,,,,,,,,,,,,8,,32,,8,64,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
574.9,EKP,,<=4,,,,,,<=1/19,,<=1,1,>64,<=1,,<=1,>128,,>32,,,>16,2,16,,<=8,>32,>64,>32,8,32,>64,>32/16,>8,>16,>32/16,>64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
573.5647,EKP,>=64,>64,>64,,>64,>32,,>64/128,,,,>128/,>64,,16,>32,,,>64,,>64,,<=20,,>64,,,,16,,,,,,>64/,,,,,>32,>64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2398,EKP,,,,,>16,<=0.5,,,,>16,2,,,,<=1,>128,,8,,,4,2,<=4,,<=8,<=1,>64,,4,2,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2584,EKP,<=0.5,<=4,,,,,>8,,,>16,,<=4,>8,,<=1,>128,,>32,,,>16,1,<=4,,<=8,>32,>64,8,2,>32,>64,>32/16,8,>16,32/16,>64,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
72407.251,EKP,<=0.5,,,>8,,<=0.5,,>2/38,>4,,<=0.25,<=4,,,0.5,>128,,<=2,,,>16,1,16,,16,<=1,>64,<=0.12,8,<=0.5,>64,16/8,<=0.5,>16,8/4,>64,,,,,,1,,,,<=0.12,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2649,EKP,,,,,,>8,,,,16,,<=4,,,8,>128,,>32,,,16,1,<=4,,<=8,>32,>64,8,4,>32,>64,>32/16,>8,>16,32/16,>64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2266,EKP,<=0.5,,,,,<=0.5,<=0.5,>2/38,,,1,,,,<=1,>128,,<=2,,,>16,<=0.25,16,,>16,<=1,>64,,<=1,1,>64,16/8,2,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2547,EKP,,8,,,>16,,,<=1/19,,>16,,,,,<=1,>128,,<=2,,,>16,1,<=4,,<=8,<=1,>64,1,4,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2537,EKP,<=0.5,,,<=1,>16,,,<=1/19,,16,,,<=1,,<=1,>128,,<=2,,,2,1,>16,,<=8,<=1,>64,<=0.12,4,1,>64,32/16,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66045,EKP,<=0.5,,,<=1,>16,,,>2/38,,>16,,64,4,,<=1,>128,,4,,,>16,2,>16,,16,<=1,>64,2,>8,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24336,EKP,>16,<8,,,,>8,,>8/152,,,>8,>128/4,>16,,=0.5,>64,,,>32,>32/16,>128,>=8,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=1,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.65973,EKP,,<=4,,,,,<=0.5,,,16,4,,>8,,<=1,>128,,<=2,,,8,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.46414,EKP,1,,,,>256,4,,,,,,,,,,>256,,,,,256,2,128,,,,,,32,,>256,,,,,>256,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,
72407.2738,EKP,<=0.5,,,,,<=0.5,<=0.5,,,,,,,,<=1,64,,8,,,<=1,<=0.25,>16,,<=8,<=1,>64,<=0.12,<=1,2,>64,16/8,<=0.5,>16,32/16,8,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66266,EKP,,,,,,,,,>=8,>=64,>=4,,,,,>=64,,>=64,>=32,>=32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2296,EKP,<=0.5,,,,>16,<=0.5,,>2/38,,>16,1,,<=1,,<=1,>128,,<=2,,,>16,1,<=4,,<=8,<=1,>64,,4,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2221,EKP,2,,,,,<=0.5,<=0.5,>2/38,,2,,<=4,,,<=1,4,,>32,,,4,1,<=4,,>16,16,32,>32,8,32,<=0.5,<=8/4,<=0.5,<=1,>32/16,>64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.4186,EKP,0.059999999,,8,0.5,,,,,,,,,,16,,0.12,,8,,8,2,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
72407.2205,EKP,<=0.5,<=4,,<=1,,,<=0.5,,,,,<=4,<=1,,<=1,128,,<=2,,,<=1,1,16,,<=8,<=1,>64,<=0.12,2,<=0.5,>64,<=8/4,<=0.5,16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2482,EKP,,,,<=1,>16,,,,,,,>64,,,<=1,>128,,16,,,>16,1,>16,,<=8,4,>64,8,<=1,16,>64,>32/16,2,>16,>32/16,>64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
573.30007,EKP,,>32,,>4,,128,,,,,>2,,,,>8,,,,,,,1,8,<=1/4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.30015,EKP,>8,16,,<=1,,128,,,>1,,>2,,,,2,,,,,,,1,16,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2853,EKP,1,,,<=1,,<=0.5,,>2/38,,8,4,>64,8,,<=1,128,,>32,,,>16,<=0.25,16,,>16,>32,>64,>32,4,>32,32,>32/16,<=0.5,8,>32/16,>64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
573.24436,EKP,>8,=32,,>=16,,>8,>8,,,>64,>8,,,>=32,=0.25,>64,,,>32,>32/16,>128,<0.5,,,,,,=64/4,,,>32,,>=4,,,,,,,,>8,=0.5,,,,=16/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.46379,EKP,,,,,64,>32,32,,,,64,,,128,,>256,,,,,32,2,>256,,,,,,4,,>256,,,,,>256,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
72407.165,EKP,,32,,,>16,,,,>4,,,>64/4,,,0.5,>32,,,,,>16,<0.25,,,,,,,4,,,,>2,,,,,,,,,0.5,,,,,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.4228,EKP,0.5,,2,64,,,,,,,,64,,32,,128,,256,,16,16,0.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.46334,EKP,4,,,,,16,16,,,,,,,128,,256,,,,,>256,0.5,256,,,,,,4,,>256,,,,,256,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,
72407.1435,EKP,=0.25,,,=16,=64,=0.06,=8,,,,,,,,,=128,,,,,=32,=0.5,=32,,,,,,=4,,,,,,,,,,,,,=0.5,,,,,=8,,,,,,,,,,,,,,,,,,,,,,,,
72407.242,EKP,<=0.5,<=4,,>8,,>8,,<=1/19,>4,,>2,<=4,8,,<=1,>32,,4,,,>16,0.5,<=4,,<=8,<=1,>64,<=0.12,2,2,>64,<=8/4,<=0.5,>16,32/16,>64,,,,,,1,,,,<=0.12,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
1304918.4,EKP,>8,16,,<=1,>16,>8,>8,>4/76,>4,>16,>2,>64/4,>8,,<=0.25,>32,,,,,>16,0.5,,,,,,,8,,,,>2,,,,,,,,,0.5,,,,,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.22555,EKP,,,,,,0.015,,>16,0.015,,,256,,,0.125,8,,,,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,>32,,
72407.2825,EKP,,<=4,,,16,,,,,,,<=4,<=1,,<=1,>128,,<=2,,,2,1,>16,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2761,EKP,,<=4,,>8,>16,,,>2/38,,,,,>8,,<=1,>128,,<=2,,,16,1,<=4,,<=8,<=1,>64,<=0.12,4,2,>64,<=8/4,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2418,EKP,<=0.5,<=4,,<=1,,,<=0.5,>2/38,,,,<=4,,,2,>128,,<=2,,,16,<=0.25,>16,,>16,<=1,>64,,<=1,<=0.5,>64,<=8/4,<=0.5,>16,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2248,EKP,<=0.5,,,<=1,<=1,<=0.5,<=0.5,<=1/19,,,,<=4,<=1,,<=1,<=0.5,,<=2,,,<=1,<=0.25,<=4,,<=8,<=1,<=0.5,<=0.12,<=1,<=0.5,<=0.5,<=8/4,<=0.5,<=1,<=4/2,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2577,EKP,,,,<=1,16,,<=0.5,>2/38,,,,,,,<=1,>128,,<=2,,,8,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,<=8/4,<=0.5,>16,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2609,EKP,,,,,4,,<=0.5,,,,1,<=4,<=1,,<=1,128,,<=2,,,<=1,1,>16,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,<=8/4,<=0.5,16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66399,EKP,,,,,>=32,,,,,>=64,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2536,EKP,<=0.5,,,<=1,>16,<=0.5,<=0.5,<=1/19,,,,<=4,<=1,,<=1,>128,,8,,,4,1,>16,,<=8,<=1,>64,<=0.12,8,2,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.4127,EKP,,,,64,,,,,,,128,128,,32,,512,,256,,16,128,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.29862,EKP,,,,,,128,,>4/76,>1,,>2,,,,<=1,,,,,,,0.5,,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
