,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Organism_Code
Amikacin_AB,0.0968295390886347,0.014111688827336192,0.0085405411981287,0.009962081672152217,0.011859248705778577,0.013889796885216722,0.011410033935449336,0.02363046217702361,0.033838149144281675,0.021567420962800114,0.06341666006078658,0.022627247719496774,0.012638392977701817,0.5475266292881595,0.019578167619129113,0.011428933601982626,0.023379182797046306,0.014413010829694777,0.0131964941251854,0.004779805113980512,0.01265931534435653,0.0015243197935541093,0.004303540179720806,0.0028893379524033407,0.0
Amoxicillin-clavulanic acid_AB,0.03468346847691729,0.11853548341031195,0.03795085820369651,0.0006064990532303252,0.10151699233582584,0.0,0.011445213890812971,0.020619542542577224,0.09180363630545596,0.07381300143481047,0.011397719963304785,0.01393879470593518,0.008361333054850723,0.007883052477316323,0.01575195948869094,0.11302894969864018,0.005839239423867349,0.025311625193925807,0.02453360581868516,0.06090102723739635,0.006790610355576536,0.21528738692817218,0.0,0.0,0.0
Ampicillin-sulbactam_AB,0.010094290735763109,0.1014195758643418,0.033791424913719975,0.05309019089154225,0.053179618535491205,0.42929567837549687,0.016569174937741498,0.005854590645622705,0.012955162028337484,0.16246038318264228,0.006969494845266258,0.006136528344414107,0.005093749556699017,0.005879244158117847,0.013790150244672589,0.0075152059667043,0.00400894593050433,0.0,0.00767559517522585,0.03201058508060359,0.010356980119640431,0.0,0.011494122857309209,0.010359307610143201,0.0
Ampicillin_AB,0.03468859822352011,0.1055117949777904,0.00922967524120589,0.0513590167222455,0.24724061057806354,0.09954493178087759,0.03399066717001307,0.014127478765269694,0.040264946021873776,0.05311752123426319,0.005215036472152884,0.013727112857878377,0.03172538356172533,0.01574323715525976,0.01692680748629158,0.03690665614166287,0.054792767893675196,0.002737319659050597,0.012783990826799261,0.030106224682509865,0.004291662718850436,0.009100395007956811,0.024708805201056238,0.05215935962000802,0.0
Aztreonam_AB,0.0713987421608524,0.05825271681791882,0.011482274678988227,0.0397804043820143,0.28251133270000506,0.020618548326732863,0.013292239697778707,0.015234023029732185,0.20645074439272118,0.021308050443071706,0.02725063227384831,0.037012245290361775,0.01461455358401453,0.0203993142804732,0.07518135739469142,0.0395011501491714,0.0072490321991715845,0.003495231886407024,0.004291251872625157,0.008484801741635233,0.004437499677691581,0.00865916674075145,0.004025338778824651,0.00506934750051719,0.0
Cefazolin_AB,0.018290887737142693,0.14955586322041553,0.015072776411324606,0.43200453450363374,0.132666493393871,0.06812657762681133,0.011044366671264969,0.0052934144479891004,0.054273430197602585,0.009247232999729724,0.019501666267476177,0.008041914255690319,0.00450644508149202,0.004661328512435557,0.006378633155506104,0.003971245902530776,0.004471986928592203,8.675532675790776e-07,0.009413367954873108,0.026207095213822425,0.005156420983860221,0.0,0.006448852248514056,0.0056645987321542034,0.0
Cefepime_AB,0.08560642075468358,0.027626429930026626,0.020332291976583095,0.019234751262179866,0.023033001651273033,0.03595400628791764,0.019683078616095025,0.03254764013589195,0.06698827424994551,0.03549765855695976,0.033043388713491745,0.0632380402916372,0.02776675253011233,0.04074878672343393,0.23287481255272102,0.05698421471218144,0.011734317347739422,0.010013516787664746,0.04620509016306404,0.030572896508345253,0.022617418753887432,0.004957842394839224,0.02556407602354635,0.02717529307577987,0.0
Cefotaxime_AB,0.07053362234597649,0.09116495710639926,0.07363985664371626,0.014335247243056761,0.00876335724209233,0.0029444013550148002,0.027387422877217862,0.006470183027429582,0.06446043840565056,0.08284051006483586,0.003746468963941571,0.00506142976716592,0.0011003047345748505,0.009755746639139903,0.3089239586894254,0.05089300393799376,0.0021676301994451395,0.047159224968615424,0.0016836340730732185,0.027928487470639925,0.02625715313182766,0.019410104940004603,0.026729445034148855,0.026643411138613817,0.0
Ceftazidime-avibactam_AB,0.024413101650891226,0.0452900867308651,0.01738465279166646,0.03174107084272984,0.011794649514924841,0.018228357655372764,0.01925091972569864,0.026801819197368584,0.017295459770511556,0.023667936800431437,0.06943346489832553,0.024707666796817553,0.023510717938784773,0.04660760139622333,0.027684316876369342,0.0100795027790822,0.017720472026964453,0.0,0.02397849541664415,0.010506492529431357,0.012552648642957121,0.0,0.03361764742895818,0.4637329185889817,0.0
Ceftazidime_AB,0.02941215411412976,0.07279818632762719,0.013762310156752004,0.07166728444797951,0.429788682501338,0.02414099463921704,0.010271236358312657,0.0205446643697283,0.1529251998174802,0.020310828300840293,0.011978406459570042,0.012276497992150253,0.011797162920669409,0.0111689890851443,0.0106207077678552,0.007896850179945328,0.010282925491907964,0.010542352825035064,0.012214302355734478,0.01566307397203972,0.007334064496660439,0.00563821962009413,0.01139662662464893,0.015568279175139702,0.0
