,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefpodoxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Doripenem_AB,Tigecycline_AB,Trimethoprim_AB,Piperacillin_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Colistin_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.06495801299083429,0.030158995570538524,0.005524620408642806,0.0021552549055220333,0.016549757613579366,0.05344706230798296,0.017481537496724937,0.008713271153122844,0.011788821657222729,0.0006670834932686117,0.0012889218696917055,0.02080968796636396,0.019910651378549724,0.013504751574712995,0.0022428062291861848,0.017431573824886103,0.016956826527168976,0.004121958746096942,0.017653481342878887,0.012386206622869544,0.003158695392950186,0.008925803596736571,0.014579823405629579,0.03318361029309458,0.006281534061117181,0.5752582385846854,0.008555816425634293,0.012305194560308111,0.0
Amoxicillin-clavulanic acid_AB,0.0033430564877956204,0.032451733750624004,0.20960404569235694,0.0,0.0266415636954226,0.04401141273576572,0.08974260770432202,0.003389590012228649,0.02371842060907459,0.007761610283780183,0.0,0.0039997187575278575,0.15366580340928845,0.03703732552792206,0.0004576059457591109,0.05925279815201604,0.006796063805611985,0.0002654416476856164,0.009981719049127523,0.18994834772438912,0.010575866027390943,0.007499135725610872,0.0041038101040643295,0.008320662163591935,0.04803645809373371,0.013823888824671088,1.2859351493457174e-05,0.005558454718745693,0.0
Ampicillin-sulbactam_AB,0.00866320816734133,0.019087766887084058,0.016424175450920443,0.010107063489320427,0.012876417232825252,0.011416754233783664,0.14478869274265313,0.008420787049519039,0.019368914987823962,0.0,0.011073892312591427,0.0587770864113453,0.045828060845244774,0.01155213973810811,0.004391035481199488,0.00933405356487662,0.0157369343652283,0.01276511937971391,0.017520023446476487,1.4811001372933108e-05,0.005468363093658928,0.02180688145734822,0.02582693661529526,0.021895752261439715,0.0073831339548424985,0.017967904913591733,0.41798165554493816,0.04352243537145692,0.0
Ampicillin_AB,0.0341666271964155,0.04623655547985331,0.07488260734307728,0.0020346129676750914,0.035861937124851265,0.016450392676982985,0.020057042427111114,1.374880201757618e-16,0.0010896613712278558,0.010164137967556714,0.0,0.005375701700311614,0.3508959399416498,0.026889577548095806,0.00022856218977458195,0.06463782387206976,0.05025653839584409,0.0006811387434134866,0.13477621459854386,0.0038200800463558376,3.957180183225857e-05,0.004800504078173222,0.02086928713324685,0.0029827895823906327,0.02938725842358255,0.001338385976856162,0.04593477135962826,0.016142280053480108,0.0
Aztreonam_AB,0.0296102834561042,0.06682135453701105,0.009012188089148939,0.0078352694350882,0.021318374751768256,0.0212368921830417,0.02782844895944897,0.004878973562107182,0.017111245849277545,0.010846513607099931,0.0076141901224478625,0.3521260342145699,0.223021013309525,0.016770845277367392,0.007468656422302307,0.021749586440518588,0.02159709032792202,0.010459226720774137,0.01851559783170681,0.0052745185911975915,0.00343483474318768,0.005723528366165697,0.01013075257693396,0.011446166621355216,0.007254770723145711,0.020985959218095283,0.01301919671747499,0.026908487345213984,0.0
Cefazolin_AB,0.012913615121562597,0.027220642189944556,0.042759010297288846,0.02150955480692173,0.00611537141386094,0.013975732598973837,0.012908071116361502,0.00020442213214610447,0.012651915247252093,0.0,0.0,0.05341384859161817,0.19877021512098375,0.06297112515624685,0.0032864464019545987,0.004557507002604354,0.00292046640526523,0.008948619367517466,0.00757852435306477,0.00021273803294889044,0.0006594721237205488,0.013004888820248122,0.010335223583526608,0.010194531039575218,0.0023920319014848652,0.007153850309597798,0.007635247036048758,0.45570692982928185,0.0
Cefepime_AB,0.047982151786811145,0.03662927974185931,0.03129273690589391,0.010420434000416442,0.2700321780526387,0.03811142018712729,0.06451064326151373,0.008928014091292982,0.01756711621429178,0.0029747761051534265,0.007444928992041341,0.04660851343878688,0.024910796096752678,0.035768699765614836,0.03512131921044388,0.041982100531942027,0.03147709057175127,0.03521230002004687,0.030362381845860202,0.012266287744393761,0.008019260168029008,0.013545271457026506,0.028144938970030488,0.022161421180512685,0.009900578386522647,0.03797936424620035,0.029572269850618574,0.021073727176427186,0.0
Cefotaxime_AB,0.006206401255110945,0.007576464864287846,0.4217766435600939,0.022146718544342935,0.020514577893392852,0.003978957193985609,0.0083311762496477,0.003685734664209967,0.005734412502925806,0.0029861764043319144,0.014146573927624563,0.036239828673230584,0.10957636490256502,0.02354856321837375,0.07442372082955753,0.0030243668636588455,0.0023758134383746188,0.06723870969111698,0.003843388880907972,0.009620432711627658,0.00626574093203066,0.0023402628195071124,0.10953264778636493,0.00773545266592569,0.005236717660704373,0.005167103145103505,0.007844021620195847,0.008903027100800629,0.0
Cefpodoxime_AB,0.002058051377009348,0.010264630759689594,0.0984114395908587,0.059207041921264456,0.0022431596899196737,0.0018987954148745917,0.0017822912073005958,0.05968790434129298,0.0022663279999618952,0.0,0.45395940872650686,0.012927452796765038,0.010266414019901193,0.0074814992465644225,0.0038226469649342678,0.002477177226261359,0.018239964367626142,0.0028483627837505307,0.00566841554839247,0.0,0.027520050613670806,0.003922280803371104,0.06529579673086677,0.0013643728598288596,0.004726372238496165,0.0016751896969324873,0.13623283040848522,0.0037521226654744664,0.0
Ceftazidime-avibactam_AB,0.0229730541656753,0.007796751266665149,0.0074277311708935865,0.006408133434463413,0.017414814030184234,0.05633338424464705,0.02004856735107247,0.00021156335241200134,0.008028698953482044,0.0,0.0,0.02895700559382134,0.01699360845989848,0.008397773458990681,0.6033389500489325,0.022578889963660434,0.01881348071209811,0.042438760823181355,0.004821549640479022,0.0003265597557504682,0.0005518026971386564,0.026499532218027436,0.029259150140948063,0.010410565617129249,0.004549929088088251,0.00956869609501992,0.0101465554215633,0.015704492295777465,0.0
