,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Gentamicin_AB,Ampicillin_AB,Ciprofloxacin_AB,Amoxicillin-clavulanic acid_AB,Cefazolin_AB,Ticarcillin-clavulanic acid_AB,Ampicillin-sulbactam_AB,Organism_Code
Amoxicillin-clavulanic acid_AB,0.059357019831189836,0.07992643928351056,0.023037294729065745,0.06326537641528326,0.18565894013434386,0.5887549296066068,0.0,0.0,0.0,0.0
Ampicillin-sulbactam_AB,0.2324096442377408,0.03666960118207527,0.0231818814831797,0.08177081603838901,0.3251296893996538,0.0,0.03856946644732699,0.15972752888860076,0.10254137232303374,0.0
Ampicillin_AB,0.09223699639126857,0.030322509841094934,0.02125907539255873,0.5688824224627863,0.05885219928244046,0.08153547082141578,0.013760830077166036,0.07993666365345001,0.053213832077819365,0.0
Cefazolin_AB,0.23569315545365668,0.0844698392565609,0.04556088759989612,0.08280898814365262,0.23618336908940218,0.0,0.11976927101339661,0.11352574886760937,0.08198874057582557,0.0
Ceftriaxone_AB,0.05763465791030791,0.20304622846063916,0.09722877644796021,0.011337140064983823,0.08982360694847097,0.4780434303270267,0.01835864630451363,0.023582583621065537,0.020944929915032058,0.0
Ciprofloxacin_AB,0.07623306718808603,0.24997366162092888,0.25560025972281863,0.04203831965110852,0.10249441280590219,0.05751074054688729,0.0828049751457102,0.07520639354614689,0.05813816977241157,0.0
Gentamicin_AB,0.07693563291491103,0.02763400044698576,0.4636697412314038,0.023461483654181152,0.15209328676682998,0.006925999083014734,0.056919619018599016,0.1504419003070658,0.04191833657700869,0.0
Ticarcillin-clavulanic acid_AB,0.27035833941256965,0.04776708131879884,0.05381764727632178,0.08001687492709508,0.21401642305896507,0.0,0.06670727094080253,0.13124336295858174,0.1360730001068653,0.0
Trimethoprim-sulfamethoxazole_AB,0.5911067189585012,0.07924580821723581,0.043180651255567595,0.0636574296711637,0.12540731892767432,0.011242670425036905,0.01024534881361575,0.05360655739302916,0.022307496338175456,0.0
