Target,EKP
Amikacin_AB,0.8128053224235325
Ampicillin-sulbactam_AB,0.9076923755753818
Aztreonam_AB,0.888552846008624
Cefazolin_AB,0.9365045014294477
Cefepime_AB,0.5228896499031077
Ceftazidime_AB,0.8836369622053691
Ceftriaxone_AB,0.5142501915378683
Cefuroxime_AB,0.9327052671719306
Ciprofloxacin_AB,0.6115759906891195
Gentamicin_AB,0.9125332303441869
Imipenem_AB,0.5819986571717772
Levofloxacin_AB,0.7088038487852681
Piperacillin-tazobactam_AB,0.8140776582978964
Tobramycin_AB,0.9126652379319256
Median,0.8488573102516328
