,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Cefpodoxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Piperacillin_AB,Colistin_AB,Doripenem_AB,Organism_Code
Amikacin_AB,0.011603697638597373,0.01266109708535442,0.017853758989366447,0.018179287202679233,0.01891577670829519,0.008664843484004824,0.003769201471594437,0.006075166004150513,0.011499597624640118,0.061555674291580376,0.6345509527460926,0.007218539418064198,0.007424181360926232,0.0030538696491911443,0.007117441287109547,0.01184717581915216,0.01989573636942371,0.012412204784246747,0.002169482886094973,0.07672776570491643,0.014003909967634554,0.006472873393591561,0.001339057971219049,0.00613914207105137,0.008265844155604784,0.0024967849433537455,0.0027154307712998257,0.005371506200764371,0.0
Amoxicillin-clavulanic acid_AB,0.005534166292994623,0.009012664889906135,0.012728154888706097,0.022583804139601333,0.09577461406751622,0.017973593661541675,0.0,0.3553501819038061,0.032756898205065825,0.009768516450595597,0.00806077944730218,0.010828392473504096,0.008183164185475711,0.011405096390464168,0.009005019820189537,0.026183693448773783,0.21944021197641606,0.007450860123260865,2.7665621407153948e-05,0.08812853777032115,0.03133608108177437,5.210378858557686e-18,2.726331628571628e-05,0.006184849098711537,0.0075969743374996335,0.0,0.003455817661961174,0.0012029987469190388,0.0
Ampicillin-sulbactam_AB,0.011322052759986122,0.004445037703110282,0.016324398357479872,0.025202357928277956,0.05184264987610345,0.028530469751293332,0.009552494018812679,5.492069545942508e-06,0.0020193111242380393,0.021434928260351822,0.015905491642116493,0.011253649879168074,0.013207722460604407,0.0,0.0031015383579428633,0.017237483282655584,0.05363691733309324,0.015847058991753628,0.012173313508877228,0.011481458968727772,0.011039160961624108,0.44774028227571316,0.0050289798504405195,0.16510279729706467,0.009899758735364788,0.014064312689575552,0.006284139156778808,0.016316742759299504,0.0
Ampicillin_AB,0.0041355427158814295,0.0046503043048793736,0.0027381175847925824,0.011389267639733844,0.010042403618952752,0.026623926976429825,0.008570250022023385,0.012520652228253076,0.46502467654140256,0.002909562151566725,0.0034435928292674673,0.14200256088431001,0.012644042972604495,0.02063292918285213,0.00729144189161345,0.0011822953095958677,0.06876523268217405,0.05601125943242394,0.006987680854097976,0.0031031592668773417,0.0488857361366872,0.01821727594095747,0.01982525222388244,0.005455389948041217,0.03684294105448253,0.0,8.228918012127931e-05,2.2216426095656624e-05,0.0
Aztreonam_AB,0.005999000156540445,0.007476961651001569,0.029173173449865114,0.015473769671904891,0.009877953102328732,0.019468395809290953,0.013947776388529395,0.006249153812653046,0.0037161474344083473,0.007389093157888089,0.01902065320365931,0.008376664748974926,0.00815605487888161,0.00940781544940631,0.000814842290427818,0.013475616922411796,0.22905119563984067,0.43897127604000913,0.003852754834064497,0.0401697027282384,0.005839123581199911,0.028627185197964755,0.007447213970230162,0.02691505768446445,0.009467084620008507,0.008155268490661451,0.0089779243239764,0.014503140761169158,0.0
Cefazolin_AB,0.004675063370913205,0.00648558929478096,0.02093583477735514,0.01095340126158832,0.005331482441818838,0.08597125469105275,0.010900392895394078,0.0016847413880644979,0.00722435116364088,0.024117884163059756,0.01451074496936003,0.0050002514909765336,0.007088327361375156,0.0,0.005819563116676874,0.010148852100940717,0.12354068880277322,0.012468861981442118,0.004216746274416103,0.05597193423445735,0.0082037037395901,0.0402338578351247,0.005781403671275269,0.5209542991727011,0.00534757022720438,0.0,0.002353071747624545,8.012782639350674e-05,0.0
Cefepime_AB,0.02031176550806555,0.02585747411828226,0.04129948265565295,0.016436224381690047,0.022664523662481048,0.0736222616432291,0.006788932024786318,0.0829827557404813,0.016252892010196834,0.017353142741607937,0.03718449558065784,0.014714415608757324,0.23582052570722228,0.03309594212383793,0.012596039900902536,0.02709935957367783,0.025447796244959697,0.030646950883441222,0.02110082336270184,0.057343485506654454,0.03690203682900266,0.024223827152520784,0.020438393813658272,0.029724615991476525,0.022723966281068236,0.02850526887854527,0.010822963917070735,0.008039638157371345,0.0
Cefotaxime_AB,0.005676938835331994,0.009911819590634734,0.025297081196733108,0.011878388987396158,0.006476476671803212,0.2911147483704264,0.019913471410020516,0.0403641632260073,0.00475622640188041,0.010369715869177345,0.02213562424004279,0.058868307925870736,0.05629922883589071,0.004545110484155741,0.003421989335949647,0.0155455509534234,0.15248118783929793,0.08162073695967711,0.04511522720589703,0.010526614001513716,0.0068534014149110815,0.005853095389314223,0.04809222495602261,0.006289327291911959,0.00541758252456538,0.028847414321088363,0.015985340680923672,0.0063430050801327725,0.0
Cefpodoxime_AB,0.01888235913782666,0.002668769270414555,0.009723675621344534,0.002896025500104929,0.0028384673145905024,0.014478126664779939,0.004163911725975243,0.0,0.004974815504577257,0.0011495470561297943,0.00908319308397525,0.08111282772476087,0.006861917391896033,0.0,0.011445791234708031,0.01392509822408568,0.010257968204459353,0.028637083424938328,0.005888915390555088,0.005851719594671172,0.0019910903074054145,0.01342400403499441,0.0033862447944527055,0.004636028601447181,0.0057084208120552205,0.5066315065311244,0.08569524993334798,0.14368724291537954,0.0
Ceftazidime-avibactam_AB,0.021602849182366955,0.018664682463671187,0.010982869269444936,0.008943521643124015,0.03138543721355207,0.004642029625539837,0.00690984160512185,0.00023353481198679397,0.009960415113949387,0.0170193948135507,0.035324817688594634,0.028415939709438124,0.008957029964139888,0.0,0.005526397124515485,0.008922110104500457,0.01615265530357839,0.021603206939474984,0.056795227667667106,0.01086177651639855,0.025874109610463256,0.013569721518260355,0.6181128477006836,0.0071329280776425115,0.00980586660830146,0.0,0.00260078972403371,0.0,0.0
