Training,Test,Fold,Antibiotic,Accuracy
mix,na,0,Amikacin_AB,0.8571428571428571
mix,na,0,Gentamicin_AB,0.8914285714285715
mix,na,0,Piperacillin-tazobactam_AB,0.717391304347826
mix,na,1,Amikacin_AB,0.8076923076923077
mix,na,1,Gentamicin_AB,0.8343558282208589
mix,na,1,Piperacillin-tazobactam_AB,0.7479674796747967
mix,na,2,Amikacin_AB,0.8013698630136986
mix,na,2,Gentamicin_AB,0.9056603773584906
mix,na,2,Piperacillin-tazobactam_AB,0.7016129032258065
mix,na,3,Amikacin_AB,0.8064516129032258
mix,na,3,Gentamicin_AB,0.879746835443038
mix,na,3,Piperacillin-tazobactam_AB,0.6935483870967742
mix,na,4,Amikacin_AB,0.8835616438356164
mix,na,4,Gentamicin_AB,0.9058823529411764
mix,na,4,Piperacillin-tazobactam_AB,0.6715328467153284
mix,phoenix,0,Amikacin_AB,0.9166666666666666
mix,phoenix,0,Gentamicin_AB,0.8533333333333334
mix,phoenix,0,Piperacillin-tazobactam_AB,0.8133333333333334
mix,phoenix,1,Amikacin_AB,0.9133333333333332
mix,phoenix,1,Gentamicin_AB,0.9166666666666666
mix,phoenix,1,Piperacillin-tazobactam_AB,0.89
mix,phoenix,2,Amikacin_AB,0.8833333333333333
mix,phoenix,2,Gentamicin_AB,0.8566666666666667
mix,phoenix,2,Piperacillin-tazobactam_AB,0.8166666666666667
mix,phoenix,3,Amikacin_AB,0.9166666666666666
mix,phoenix,3,Gentamicin_AB,0.91
mix,phoenix,3,Piperacillin-tazobactam_AB,0.8533333333333334
mix,phoenix,4,Amikacin_AB,0.9233333333333332
mix,phoenix,4,Gentamicin_AB,0.8666666666666667
mix,phoenix,4,Piperacillin-tazobactam_AB,0.8533333333333334
mix,vitek,0,Amikacin_AB,0.9066666666666666
mix,vitek,0,Gentamicin_AB,0.9133333333333332
mix,vitek,0,Piperacillin-tazobactam_AB,0.921161825726141
mix,vitek,1,Amikacin_AB,0.8966666666666666
mix,vitek,1,Gentamicin_AB,0.9133333333333332
mix,vitek,1,Piperacillin-tazobactam_AB,0.8600823045267489
mix,vitek,2,Amikacin_AB,0.9033333333333332
mix,vitek,2,Gentamicin_AB,0.8766666666666667
mix,vitek,2,Piperacillin-tazobactam_AB,0.895397489539749
mix,vitek,3,Amikacin_AB,0.9
mix,vitek,3,Gentamicin_AB,0.9
mix,vitek,3,Piperacillin-tazobactam_AB,0.8921161825726142
mix,vitek,4,Amikacin_AB,0.9
mix,vitek,4,Gentamicin_AB,0.9033333333333332
mix,vitek,4,Piperacillin-tazobactam_AB,0.892
phoenix,na,0,Amikacin_AB,0.8015873015873016
phoenix,na,0,Gentamicin_AB,0.8571428571428571
phoenix,na,0,Piperacillin-tazobactam_AB,0.7391304347826086
phoenix,na,1,Amikacin_AB,0.7461538461538462
phoenix,na,1,Gentamicin_AB,0.8098159509202454
phoenix,na,1,Piperacillin-tazobactam_AB,0.7479674796747967
phoenix,na,2,Amikacin_AB,0.7054794520547946
phoenix,na,2,Gentamicin_AB,0.8050314465408805
phoenix,na,2,Piperacillin-tazobactam_AB,0.7016129032258065
phoenix,na,3,Amikacin_AB,0.75
phoenix,na,3,Gentamicin_AB,0.8037974683544303
phoenix,na,3,Piperacillin-tazobactam_AB,0.7338709677419355
phoenix,na,4,Amikacin_AB,0.7945205479452054
phoenix,na,4,Gentamicin_AB,0.8058823529411765
phoenix,na,4,Piperacillin-tazobactam_AB,0.7226277372262774
phoenix,phoenix,0,Amikacin_AB,0.9366666666666666
phoenix,phoenix,0,Gentamicin_AB,0.86
phoenix,phoenix,0,Piperacillin-tazobactam_AB,0.8533333333333334
phoenix,phoenix,1,Amikacin_AB,0.94
phoenix,phoenix,1,Gentamicin_AB,0.89
phoenix,phoenix,1,Piperacillin-tazobactam_AB,0.86
phoenix,phoenix,2,Amikacin_AB,0.9066666666666666
phoenix,phoenix,2,Gentamicin_AB,0.87
phoenix,phoenix,2,Piperacillin-tazobactam_AB,0.8266666666666667
phoenix,phoenix,3,Amikacin_AB,0.9166666666666666
phoenix,phoenix,3,Gentamicin_AB,0.8733333333333333
phoenix,phoenix,3,Piperacillin-tazobactam_AB,0.82
phoenix,phoenix,4,Amikacin_AB,0.9066666666666666
phoenix,phoenix,4,Gentamicin_AB,0.87
phoenix,phoenix,4,Piperacillin-tazobactam_AB,0.8466666666666667
phoenix,vitek,0,Amikacin_AB,0.75
phoenix,vitek,0,Gentamicin_AB,0.8266666666666667
phoenix,vitek,0,Piperacillin-tazobactam_AB,0.7717842323651453
phoenix,vitek,1,Amikacin_AB,0.78
phoenix,vitek,1,Gentamicin_AB,0.8666666666666667
phoenix,vitek,1,Piperacillin-tazobactam_AB,0.8395061728395061
phoenix,vitek,2,Amikacin_AB,0.7666666666666667
phoenix,vitek,2,Gentamicin_AB,0.8633333333333333
phoenix,vitek,2,Piperacillin-tazobactam_AB,0.8284518828451883
phoenix,vitek,3,Amikacin_AB,0.75
phoenix,vitek,3,Gentamicin_AB,0.88
phoenix,vitek,3,Piperacillin-tazobactam_AB,0.7842323651452282
phoenix,vitek,4,Amikacin_AB,0.7866666666666666
phoenix,vitek,4,Gentamicin_AB,0.87
phoenix,vitek,4,Piperacillin-tazobactam_AB,0.808
