Target,Accuracy,ROC_Mean,F1_Mean
Aztreonam_AB,0.94,0.96,0.93
Cefepime_AB,0.89,0.83,0.69
Ciprofloxacin_AB,0.90,0.60,0.47
Imipenem_AB,0.86,0.72,0.64
Levofloxacin_AB,0.86,0.90,0.83
Piperacillin-tazobactam_AB,0.89,0.94,0.88
Aztreonam_AB,0.89,0.76,0.76
Cefepime_AB,0.66,0.61,0.48
Ciprofloxacin_AB,0.90,0.35,0.47
Imipenem_AB,0.37,0.65,0.34
Levofloxacin_AB,0.85,0.87,0.71
Piperacillin-tazobactam_AB,0.85,0.79,0.70
Aztreonam_AB,0.84,0.84,0.72
Cefepime_AB,0.84,0.61,0.47
Ciprofloxacin_AB,0.86,0.35,0.46
Imipenem_AB,0.32,0.59,0.26
Levofloxacin_AB,0.75,0.88,0.73
Piperacillin-tazobactam_AB,0.71,0.76,0.67
