Target,Accuracy,ROC_Mean,F1_Mean
Aztreonam_AB,0.85,0.89,0.83
Cefepime_AB,0.63,0.60,0.46
Ciprofloxacin_AB,0.76,0.71,0.58
Imipenem_AB,0.27,0.60,0.26
Levofloxacin_AB,0.62,0.68,0.62
Piperacillin-tazobactam_AB,0.81,0.86,0.79
Aztreonam_AB,0.91,0.80,0.79
Cefepime_AB,0.74,0.80,0.71
Ciprofloxacin_AB,0.95,0.97,0.88
Imipenem_AB,0.92,0.94,0.90
Levofloxacin_AB,0.92,0.95,0.88
Piperacillin-tazobactam_AB,0.84,0.83,0.70
Aztreonam_AB,0.81,0.82,0.69
Cefepime_AB,0.84,0.86,0.75
Ciprofloxacin_AB,0.90,0.90,0.81
Imipenem_AB,0.82,0.95,0.74
Levofloxacin_AB,0.87,0.92,0.87
Piperacillin-tazobactam_AB,0.73,0.76,0.70
