,Tobramycin_AB,Cefuroxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Imipenem_AB,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Levofloxacin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.09962213872979116,0.015571010782227833,0.032198577551109955,0.05571337142176684,0.021947656505452707,0.026085136997422494,0.012397540241070409,0.015940699371133238,0.041819925473053285,0.01542602714996272,0.011231037751095966,0.029569067287843476,0.606007965701447,0.008738886326076552,0.007730958710546549,0.0
Ampicillin-sulbactam_AB,0.011990595099675655,0.24476603819116058,0.058722657858347405,0.013569892628236564,0.036014861349883215,0.016712776940698962,0.012708715079594857,0.01936227340578144,0.0088378983148244,0.01972096302597269,0.32956078438398106,0.039540955861431706,0.011639014654157115,0.14022944154899225,0.036623131657262276,0.0
Aztreonam_AB,0.04582884743538103,0.035693872379953626,0.10048492523169672,0.05038551389496656,0.048705911416528726,0.16313305047273927,0.210237470145206,0.0351169685987231,0.049242055870882324,0.0522664781526967,0.06603769331721977,0.03297884579546295,0.06121311796230854,0.011540017311713805,0.0371352320145209,0.0
Cefazolin_AB,0.011390918515451596,0.10593852505554088,0.01530631356178546,0.01373518694147553,0.010455083849554982,0.07978553265413513,0.16973025881861353,0.195529654745061,0.0035931805609115642,0.007746567548377822,0.07929506732334828,0.012770038107271313,0.003576244692370111,0.06963087166739726,0.22151655595870556,0.0
Cefepime_AB,0.08897459008142894,0.028655095917944524,0.33301178917655,0.04748834170664791,0.05155197838826144,0.08991405945734453,0.03922737135412613,0.030842564354828322,0.04869120421414157,0.0494747661218333,0.06053329523310623,0.04085674647432981,0.05977190468920375,0.01879889596974664,0.012207396860507,0.0
Ceftazidime_AB,0.017202150715714022,0.06606816040783282,0.03298189370190303,0.03257514318536674,0.03392757056222835,0.10944975024899675,0.4280493925296666,0.05951197303871164,0.017397148469690607,0.010854787808267301,0.092965871739346,0.026174106843916224,0.01966959880776168,0.01059601897555057,0.04257643296504778,0.0
Ceftriaxone_AB,0.00973422344660508,0.1120137850915102,0.030106162010782818,0.010740417393926654,0.012956264843479275,0.05950940910227863,0.13367477456798324,0.028556111517697418,0.01105239046470852,0.007346267715647763,0.45814153888379,0.012967864423164067,0.009201773810192061,0.07505705365089307,0.02894196307734111,0.0
Cefuroxime_AB,0.00600869638993882,0.4285635166881113,0.014120681533629158,0.005928186839804907,0.005839873008306987,0.04313757326855566,0.07047562238986599,0.0465984877221378,0.0067032647734082,0.009074532697033472,0.23495518752379585,0.02200919785387503,0.004608477763739554,0.043913489418782384,0.05806321212901482,0.0
Ciprofloxacin_AB,0.011738270050178995,0.04688784271777503,0.01799756001555647,0.014641736866881357,0.01905894405467022,0.01625808180302054,0.018666681902070804,0.4953453172107637,0.010093647829441388,0.019006143471751315,0.041215669893293796,0.21592238761473842,0.00896326634332064,0.01648462046820928,0.04771982975832793,0.0
Gentamicin_AB,0.07088910957630683,0.012843547069239512,0.041863730397683485,0.5939120914693576,0.03532566468775937,0.03166542498870634,0.014211808186004506,0.025917496734305316,0.049286595849034096,0.021122192423986795,0.007909617100218033,0.018221796889821673,0.059955901818459056,0.00922407726993297,0.007650945539184461,0.0
Imipenem_AB,0.017739040782125445,0.011990842538180346,0.036719967202423556,0.026254059313976327,0.1385291131333981,0.02288058759865304,0.01719956580108549,0.012608780875815514,0.5978424260037161,0.022390645129317044,0.011470702981411455,0.025822889176857027,0.04077896984817285,0.007526591157617991,0.010245818457249789,0.0
Levofloxacin_AB,0.01721555401929383,0.030592321031902098,0.03691120176734923,0.017733358559148742,0.04289824303530101,0.024711850358957968,0.012546543222994611,0.10835427396316548,0.02167903282898279,0.014618203410105272,0.012443631820373651,0.6092812157884069,0.030488059364929272,0.01120172308780313,0.009324787741286082,0.0
Piperacillin-tazobactam_AB,0.03726209026755811,0.04354733045965695,0.06705251800412283,0.0490419404378625,0.32296808387546266,0.05433044798567174,0.03964828012527553,0.06439142221148583,0.07371197380347189,0.03568069105631541,0.03900545969939722,0.07701639927520247,0.052155903259295526,0.030815879344979855,0.01337158019424146,0.0
Tobramycin_AB,0.6065057520248363,0.01420273563328289,0.10571480133428801,0.057825185102491974,0.02469267395332176,0.028452566116132567,0.009750885056991914,0.015826066873965355,0.025175330692451026,0.019727901764688652,0.007353549648279756,0.013674958596170662,0.05491401136664451,0.007016984423717874,0.00916659741273664,0.0
Trimethoprim-sulfamethoxazole_AB,0.03637192433091456,0.03399443216991174,0.04204889611930305,0.02546454571345732,0.05337174605085013,0.03100231567651869,0.021633458112225175,0.06447158727558128,0.040287715647555705,0.5323368446625623,0.013238938934249428,0.021419542927719686,0.02899443700792495,0.04667209400441984,0.008691521366806055,0.0
