,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.01254841198501274,0.014785748524119013,0.08335766431159551,0.007546117245474247,0.02585975095416219,0.009899201318511292,0.009922988110260005,0.017466601479333637,0.06261017229294151,0.6140233140113731,0.005666013581864561,0.011064832824908812,0.0058689067277138095,0.01288465834960463,0.025369549727747596,0.030638402507216604,0.007482518856436565,0.008258167441849115,0.009376006628293004,0.005824180420727861,0.003246084939896526,0.008055438260496114,0.008245269500461415,0.0
Amoxicillin-clavulanic acid_AB,0.0412417751767523,0.029017658315121084,0.034855767680634184,0.03429804776798333,0.07832270137800147,0.025512570668171513,0.053701418126916936,0.034730004499802195,0.05325194736601843,0.019610835927566732,0.031446487665910294,0.03634617476731475,0.16587569192828355,0.041391583109013724,0.10345330171859071,0.12364456066142261,0.0,0.0526555426126943,0.015174101497234325,0.0,0.0,0.008214874846107903,0.017254954286459685,0.0
Ampicillin-sulbactam_AB,0.004063301669024687,0.008243073758475565,0.0052835087107083656,0.003918712474350754,0.1417933734049096,0.026415403870205266,0.0,0.0034958237542792527,0.004462653277906889,0.016273336662687342,0.006749766078639011,0.007328232653429713,0.0,0.008396840222748485,0.03632075687141237,0.017281808704669513,0.02014703842148024,0.040297777125957585,0.0043380029876119545,0.5137910081731675,0.004503780095287435,0.12212083480783155,0.004774966275216756,0.0
Ampicillin_AB,0.005605372956802799,0.047124243151433876,0.007616266223418352,0.0006847824030314267,0.031183582582850325,0.15865801081779918,0.0032175980994839856,0.3100560358229242,0.013835915290268931,0.00898272380139199,0.003831140011244535,0.01600252185103872,0.018333666288513996,0.006926205297856501,0.13904520362399264,0.014965611336172285,0.01720955081683898,0.05744076254705575,0.037974225330552724,0.03522335636371542,0.004784220557278538,0.04697029900022091,0.014328705826114032,0.0
Aztreonam_AB,0.004591909837287446,0.009386707084763558,0.07918382396035992,0.008298740120521921,0.010978078973031082,0.013115527374398774,0.01268849790965814,0.005902518491378554,0.008592220035098993,0.008910145095474198,0.006090382181193709,0.013454472123140555,0.01997610332304377,0.007041470206730389,0.2371646639367213,0.4455863059598062,0.008423469496411599,0.021855937009730392,0.007580154533946877,0.03186267570664322,0.003777944277484717,0.02951594826763499,0.0060223040955397905,0.0
Cefazolin_AB,0.0028958417548910712,0.008711625269584952,0.0320981504013368,0.004860570392067155,0.010700309514282406,0.03195771786031279,0.00011178935030955626,0.0055216795134099255,0.0158272096814187,0.010738751819073671,0.006133095409629592,0.002861990535460392,0.0,0.006667403838333955,0.18657779885712478,0.012734826434080995,0.017722040306203814,0.09906917354603165,0.010032874282669961,0.01849989944025056,0.002721637900644498,0.509528575858105,0.004027038034778002,0.0
Cefepime_AB,0.008119623645900817,0.02063213434685518,0.02458152290593651,0.039040156728597106,0.013282909522984977,0.010619297267731378,0.10788907583636614,0.010854577468143816,0.008849233522531063,0.013489697838305696,0.005650081869771994,0.4532025083299137,0.03808796411486787,0.020604005154697,0.01365915793112341,0.05304509876521296,0.013476368583143678,0.03657048466386073,0.01213045899790952,0.053991164029522885,0.009111433216021907,0.025742814281984102,0.0073702309786175865,0.0
Cefotaxime_AB,0.007476247153348103,0.02648122034515969,0.10469152612466259,0.022570934102056572,0.10491104348999442,0.015232004613724506,0.06382666290809896,0.012628279740409247,0.00633413065363461,0.027845389468619537,0.017726376328117296,0.23902819049702773,0.014588465255305251,0.028509472779500007,0.008746850713250903,0.09828939714977963,0.021564747549844932,0.12482882024384503,0.005517154811192427,0.004476695890154685,0.021204246448568408,0.021817113267581022,0.0017050304661244066,0.0
Ceftazidime-avibactam_AB,0.018796617449832843,0.016534835364133565,0.005484936003468972,0.010768830159635515,0.059473282300865724,0.012101999377259923,0.0,0.004998852989932679,0.071084485968545,0.009187194626770956,0.004055030103062716,0.01181918335271333,0.0,0.012756503905147931,0.008018500670034045,0.012604272623179848,0.015176429087369592,0.014875124057107943,0.013737010265244314,0.009669330425566783,0.6760251641373792,0.0047210949186437656,0.008111322214105307,0.0
Ceftazidime_AB,0.006125943016746575,0.009543480517656956,0.06585650485333598,0.010356964078848816,0.011569107559637411,0.011787451928843286,0.014668159477091275,0.009574809628740216,0.015614932793435843,0.013117547225741828,0.005580600137837772,0.0170293316529325,0.008452749907171316,0.007744037658565725,0.4698760127330378,0.18797881434089192,0.00989406998733863,0.023762294301857553,0.005092438390632389,0.033872851228549314,0.013305349838637202,0.03672104454002817,0.012475504202441569,0.0
