,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Cefpodoxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Piperacillin_AB,Colistin_AB,Doripenem_AB,Organism_Code
Amikacin_AB,0.017715513290294173,0.021762122070073484,0.036163793903264976,0.0228440687108623,0.014483163893754075,0.013781940607308318,0.004785305072557811,0.017073228018215668,0.015565322257876405,0.04296648366578767,0.5300328263486491,0.009234944414601882,0.01267210169574811,0.001121544169812453,0.006567508823347574,0.02159961319149901,0.028481283855644586,0.018989822109376806,0.0030880344470878333,0.09308439612370813,0.014273633110381219,0.007728641777787532,0.006281225874482559,0.008205903858487754,0.009658870524671941,0.005616744730664031,0.011258271284160515,0.004963692169893853,0.0
Amoxicillin-clavulanic acid_AB,0.008413298220218177,0.027302849105089306,0.014701691049418743,0.013771130675701276,0.02658530211118225,0.08130787820321592,0.0,0.2936299616287856,0.03150240518143872,0.02476572674610505,0.017427095089536285,0.010461558696406276,0.009403257444760768,0.008160397658269768,0.014557472898238328,0.07342274652654884,0.23475487674068926,0.02165810192700621,1.2040044052107243e-17,0.04913125159629745,0.014279292654742143,6.415853115437454e-05,1.594468842568521e-05,0.007719533512187076,0.013767943400504096,0.0,0.002581764258463818,0.0006143614556146767,0.0
Ampicillin-sulbactam_AB,0.01822038577315755,0.010851603731343445,0.03315437823557447,0.028799217999482585,0.07037895817388687,0.0519518635381782,0.00968892763807196,6.263429666940895e-05,0.0054159823928508315,0.0423777330173169,0.0180674213071016,0.01366797163790289,0.026307065116671,0.0,0.004460726108781543,0.015700791348577083,0.024947637292582904,0.01540972629008526,0.006322425035120127,0.05445779402321262,0.022201901804853777,0.3493180335042092,0.0057111194174594825,0.11140518889684656,0.017894774445631693,0.020528493455558815,0.013012060547327144,0.009685184971545979,0.0
Ampicillin_AB,0.0055744230140416275,0.006618086413039263,0.008630996313609909,0.003051225809532124,0.010590279516523292,0.039945051096551915,0.001937289766203634,0.0062120294142613075,0.43359483917356856,0.00349683414226819,0.0027194702175457833,0.18760919712343865,0.016232206872582845,0.01627168714250752,0.012727591046575462,0.009646763731099824,0.09397981712964935,0.03837167435579828,0.007697104282001314,0.009613178724546454,0.03457688263561803,0.011346833643610613,0.0024450548182533144,0.01079122229552408,0.026271455963263017,0.0,2.4347847375703998e-05,2.445751100997657e-05,0.0
Aztreonam_AB,0.015185168696255809,0.013421780539584418,0.05100533732962162,0.021059035796247516,0.011984917554170261,0.04463498260787033,0.006298358713037409,0.013440938539201358,0.006753140128712398,0.009649571643674481,0.014909559637690547,0.012106350351061343,0.014724618282776375,0.008661757538692647,0.0029804738917595715,0.017216936345647943,0.16856588459970984,0.4023265681165455,0.005075497190158288,0.04921516410219602,0.011717851348280593,0.014209958664191974,0.009432926221848228,0.02758750483039702,0.012133270892717304,0.008688307535683545,0.019213851174691564,0.0078002877275760735,0.0
Cefazolin_AB,0.004947537666456482,0.005701557749853421,0.026002697170422605,0.009059429140603054,0.0049011700376224866,0.026160231225134993,0.00496829569882646,0.0030018775393012296,0.0035682254113113157,0.058119293589140364,0.013907263800403701,0.010518141268740967,0.005320105505058811,0.0,0.00359705159349373,0.007893165779624088,0.1578399562903887,0.012695663972346873,0.01340593324417714,0.08713674011272213,0.00608398444141654,0.0225467993810119,0.0054296986037150165,0.49786344992394127,0.005874582610760116,0.0,0.0025149187173723565,0.000942229526154431,0.0
Cefepime_AB,0.026627669198126806,0.022662370328744796,0.02330170017624028,0.04370914057986426,0.03230785273280361,0.0411225999002979,0.005907592784585964,0.052351472295028754,0.013541697568537667,0.019057318227333583,0.022040292814479293,0.018795585239815664,0.2635959672913311,0.03486562629318597,0.017594148968229584,0.021802468160659262,0.03755364537809557,0.06738514993002397,0.014181097468848373,0.02339283041049644,0.07595447448137657,0.014225488426709596,0.01637091248203361,0.029344535885679167,0.016376536735054327,0.01612687541823945,0.008781331639873654,0.021023619184304947,0.0
Cefotaxime_AB,0.011800925408599307,0.011389355795165144,0.01761612745078308,0.02344990369846578,0.012411672359167828,0.21446659651160968,0.005508903019980945,0.052295636119090064,0.011010184361084807,0.02313856859638605,0.019093288436054335,0.05489678930646841,0.10553040917999829,0.007517743237773215,0.0015072438519383282,0.023403527873816346,0.12290542564137345,0.05552747224011464,0.04047663949356339,0.04095019772547964,0.011823148368074831,0.0156525692865945,0.0430784489365581,0.009999594880229536,0.010851042268311021,0.008165510201574775,0.02423462804110971,0.0212984477106346,0.0
Cefpodoxime_AB,0.010927433189540127,0.004621069775442592,0.009545614100773165,0.01801060175789536,0.008174452254426406,0.12260562527610014,0.007447053193247608,0.0,0.005924954195367049,0.012768240504607562,0.045486785148086045,0.010919317213077486,0.020665018646051386,0.0,0.0007072484719633731,0.042697060028962265,0.018538256968513078,0.01867496427875296,0.003537825251232198,0.05785324747512176,0.022157575280947923,0.04887471145025261,0.004176892637479182,0.005033005625810787,0.005675834719192669,0.07994234246489061,0.09439550836877364,0.320639361723492,0.0
Ceftazidime-avibactam_AB,0.034869344239414346,0.032605427407029916,0.019241838679320524,0.012682223242983601,0.014611576939368272,0.010070766342594666,0.003876464290842391,0.0006850464591091165,0.02104536723750415,0.04474109572725271,0.01341136053740613,0.025599513606460057,0.02359504511187959,0.0,0.0014551995883560764,0.009495429121497485,0.016699195431181302,0.013083580023451377,0.03118874440577018,0.01213039836602633,0.03390663272019874,0.009993757445695067,0.595447074234893,0.00601401749385473,0.00812479425014145,0.0,0.005426107097768905,0.0,0.0
