,Tobramycin_AB,Cefuroxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Imipenem_AB,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Levofloxacin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.09817354179208101,0.014838478906475754,0.033137123124929016,0.07014941577935492,0.021547051643859283,0.02996552562581018,0.009258331801667607,0.01832551857874224,0.03526253141192323,0.014905817502331761,0.013168698010965492,0.03955599105098601,0.5852642717401397,0.009099760360695104,0.007347942670038651,0.0
Ampicillin-sulbactam_AB,0.016248789479768763,0.12471460986152905,0.03881191658177276,0.012940107608079105,0.06838487446600858,0.017362866662228634,0.02117202470612487,0.02973398485141371,0.008802841303621921,0.018594072317253962,0.34951039588667765,0.0497242944606201,0.013529224492806935,0.2077455356308759,0.022724461691218046,0.0
Aztreonam_AB,0.050541039607136906,0.08386604410982276,0.10407428666060131,0.050170657472237735,0.05311330375647827,0.11436036875230969,0.2141843778018595,0.03380425771810683,0.03703017827876495,0.046904745858153865,0.04342915296423204,0.03405341886658957,0.06379450039132073,0.013226405903937723,0.0574472618584482,0.0
Cefazolin_AB,0.012843248854364834,0.13003570963831745,0.011663066685061639,0.005311524282226605,0.015955740930166943,0.017416610173841558,0.11163812931430417,0.22865420052546176,0.005635724869365283,0.012895329948750062,0.08622917951504976,0.010974363546802188,0.003336480948832098,0.048081134395887376,0.2993295563715681,0.0
Cefepime_AB,0.08896015925515176,0.028390609286531893,0.2862294533127929,0.05612995304666482,0.07617998996834022,0.0924389609330899,0.026741147660215743,0.033878892137526845,0.05602983422009898,0.04205831111660155,0.055266628777602536,0.04160105053010592,0.05375324843534588,0.04911948807714167,0.013222273242789372,0.0
Ceftazidime_AB,0.010669957779157663,0.14696588882777908,0.01398272555955541,0.013159503997303278,0.05416480901104922,0.04126787300160471,0.43056964930538233,0.046742697043144446,0.011883598100011019,0.014729707069933094,0.07623308099350345,0.025206925797834116,0.0141563287579764,0.029222988658179804,0.07104426609758605,0.0
Ceftriaxone_AB,0.006430771192806083,0.13921811855471092,0.015756788534434733,0.011470086131360828,0.02016174377021261,0.02624927340313042,0.11734206777382868,0.036881850187546666,0.007853831303339366,0.008585885663409,0.4630695550261782,0.014967640544438887,0.010748291172322004,0.0864416027818483,0.03482249396043347,0.0
Cefuroxime_AB,0.00792587525923067,0.2334279937385748,0.008621218064017246,0.008062861163644002,0.0130367291379473,0.02370860807958325,0.05000439150361227,0.06294744980044016,0.006186751411170273,0.013816176756494374,0.2549360543359802,0.018599171766019926,0.007408934618378757,0.06846013015857677,0.2228576542063302,0.0
Ciprofloxacin_AB,0.021989754087215006,0.04569220769484074,0.021230489832437194,0.014563114369152282,0.018629313615207373,0.017881119830357214,0.016281778885611033,0.47660200086683946,0.008283694130706506,0.018551670342261108,0.025976710288408415,0.1965362449810537,0.01329034220475105,0.018903193510662275,0.08558836536049683,0.0
Gentamicin_AB,0.06767924999120101,0.010671409342546337,0.0429976241937145,0.5981856361330629,0.04675247570517845,0.030001038811135118,0.01178462997252069,0.027004922233182446,0.04345019336319365,0.016352672816590363,0.010310517893280295,0.02076945789590359,0.05437842507986228,0.012088621504341708,0.007573125064286855,0.0
Imipenem_AB,0.030608355350016016,0.013046340786382345,0.030844638072343108,0.03941088150360231,0.09994496304277722,0.022198500672717135,0.026072602946278205,0.013970740344599178,0.599651022559448,0.01827504184951885,0.010565686725856779,0.025796767807542094,0.044986998824712174,0.016959374448862793,0.007668085065343789,0.0
Levofloxacin_AB,0.02047893679020906,0.04659313210684847,0.03752741063884647,0.0224623742429607,0.027899978066423595,0.02522456855675116,0.0202935520466338,0.09739395109064103,0.028458053973530153,0.017297846679229012,0.015596205232989881,0.5799948665792829,0.02916655221182695,0.019713209783991888,0.011899361999834917,0.0
Piperacillin-tazobactam_AB,0.04216398789487588,0.028979926540042885,0.05710726263477878,0.04833014562081224,0.3661902411587804,0.0490665280795539,0.04772170830813703,0.05140520904492542,0.05943817925723231,0.041604692727006315,0.023649968646914946,0.062259450102298816,0.04479441881162641,0.060883849963509394,0.016404431209505372,0.0
Tobramycin_AB,0.5667996945296914,0.015349819029183018,0.10244966970939023,0.08373146582960188,0.03316865391774915,0.032563417481107776,0.009806404167361525,0.014085852683857553,0.029436793259611495,0.021566202807138314,0.009574026225643777,0.015378565160808788,0.049769478061330856,0.008065265756888674,0.008254691380635483,0.0
Trimethoprim-sulfamethoxazole_AB,0.04076421718310622,0.025468277163736924,0.04192359466963431,0.02986604199597061,0.0454053363140742,0.03159915848390689,0.012791651743444286,0.06518804578208037,0.04268614857181467,0.5149105054393821,0.01776667565049401,0.024403880784104916,0.027009087911780215,0.07069666532222067,0.009520712984249488,0.0
