Target,EKP
Amikacin_AB,3.0
Ampicillin-sulbactam_AB,0.5
Aztreonam_AB,4.040404040404041
Cefazolin_AB,0.0
Cefepime_AB,32.25806451612903
Ceftazidime_AB,0.0
Ceftriaxone_AB,5.5
Cefuroxime_AB,1.0362694300518136
Ciprofloxacin_AB,8.5
Gentamicin_AB,8.0
Imipenem_AB,54.50000000000001
Levofloxacin_AB,12.0
Piperacillin-tazobactam_AB,8.5
Tobramycin_AB,9.0
Trimethoprim-sulfamethoxazole_AB,18.5
Median,8.0
