Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin-sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin-tazobactam,gentamicin,Imipenem,meropenem,amikacin,cefepime,trimethoprim-sulfamethoxazole,ampicillin,amoxicillin-clavulanic acid,ertapenem,cefotaxime,tigecycline,fosfomycin,norfloxacin,ticarcillin-clavulanic acid,trimethoprim,colistin
562.16466,ECO,R,S,NA,R,R,R,NA,R,NA,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R
573.14261,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14341,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13426,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13169,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13819,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13448,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14548,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13301,EKP,R,NA,R,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14073,EKP,S,NA,R,S,R,S,R,S,S,S,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13292,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13076,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14369,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14419,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13256,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12859,EKP,S,NA,NA,R,R,R,S,R,S,R,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1448,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14297,EKP,S,NA,R,R,R,R,R,R,S,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12983,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13311,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12986,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13025,EKP,R,NA,NA,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1426,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13763,EKP,S,NA,R,S,R,S,R,S,S,S,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13095,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13034,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14313,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14125,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13398,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13159,EKP,R,NA,R,R,R,R,R,R,R,S,R,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14302,EKP,S,NA,R,S,R,S,R,S,S,S,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13232,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13878,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13335,EKP,R,NA,R,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14042,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13352,EKP,S,NA,R,R,R,R,R,R,NA,S,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1364,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1433,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13414,EKP,R,NA,R,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13647,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13209,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1397,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1436,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13098,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14024,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13823,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14475,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13002,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1333,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14072,EKP,R,NA,R,R,R,R,R,R,R,S,S,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1396,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13754,EKP,R,NA,R,R,S,S,R,S,R,S,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13545,EKP,R,NA,R,R,R,R,R,R,S,R,R,R,S,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13415,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13461,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14096,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13427,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12981,EKP,R,NA,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
