Antibiotic,S,R,Total
Imipenem,612,277,889
amikacin,537,321,858
gentamicin,564,485,1049
cefepime,133,718,851
meropenem,622,316,938
levofloxacin,261,330,591
trimethoprim-sulfamethoxazole,27,670,697
ertapenem,32,471,503
aztreonam,131,620,751
ciprofloxacin,159,914,1073
piperacillin-tazobactam,308,500,808
tobramycin,209,374,583
colistin,1017,185,1202
cefotaxime,127,1492,1619
cefuroxime,454,759,1213
ampicillin,0,559,559
amoxicillin-clavulanic acid,73,694,767
ceftazidime,356,1374,1730
tigecycline,343,1139,1482
ceftazidime-avibactam,130,51,181
cefpodoxime,36,659,695
ceftriaxone,81,969,1050
doripenem,781,193,974
ampicillin-sulbactam,84,741,825
piperacillin,53,724,777
Imipenem-relebactam,13,0,13
ceftolozane-tazobactam,0,60,60
ceftaroline,0,21,21
cefazolin,22,230,252
cefiderocol,28,0,28
ticarcillin-clavulanic acid,0,129,129
