,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefpodoxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Doripenem_AB,Tigecycline_AB,Trimethoprim_AB,Piperacillin_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Colistin_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.06966430555526504,0.03406000161845446,0.005764619023386971,0.004298874004999249,0.020467538507251144,0.06311772120102245,0.026228826185068502,0.0020702988093778832,0.007558419299096857,0.002249343350054844,0.0054977735796069085,0.012071496622157424,0.011315838196131793,0.014724153091362385,0.003054232782365246,0.016168689574991,0.017258007069137903,0.0024586486078100726,0.015399072148710653,0.009844511218088398,0.004492077215015667,0.012673212847192184,0.009632255844265657,0.024360385194902977,0.01004465132605701,0.5795146282122945,0.010154005683305245,0.0058564132326276224,0.0
Amoxicillin-clavulanic acid_AB,0.014229281807287887,0.04569672609915425,0.05497504958888511,0.0,0.02672324765364268,0.03727027519641857,0.0854471976934438,0.0011482022853691355,0.020447581692899838,0.015950401660898353,0.0,0.015180731630695313,0.27089985891498347,0.051139963991783666,3.4793141397185066e-18,0.017814244175207085,0.013588427205868362,7.91960006293163e-18,0.012333577783514783,0.2248656841885573,0.003059406816828736,0.028749426929427595,0.0019735484353648044,0.0017398200048575673,0.032000754857085964,0.01512018335397793,4.8112417378552526e-05,0.009598295616469413,0.0
Ampicillin-sulbactam_AB,0.011552495164412993,0.01427053357133467,0.007829907720872534,0.015083942501256355,0.010128773512652293,0.016005404401827864,0.06457025958124393,0.012435716304203977,0.023148793760509177,0.0,0.03882364075763726,0.10391429382262929,0.11566167506922474,0.015504313132860218,0.0021256215647439177,0.008134549251192537,0.010665876047683365,0.0013828111138870585,0.011625409244905016,1.8842093279420877e-05,0.007721169888349817,0.0050586263071628204,0.013838206646951975,0.00934108772362992,0.0030877765648111835,0.010694947989745834,0.44467102046693885,0.02270430579605305,0.0
Ampicillin_AB,0.0077151652879262535,0.06656568667788668,0.00847882640361642,0.017148497801374292,0.01331332834992352,0.004994858224721326,0.028387393832378552,8.35882090434755e-17,0.003703856469624342,0.023795193554300244,0.0,0.027967669618758434,0.3354957400862538,0.0062241082235536815,0.0005335942466750895,0.06481395717880567,0.027296774937636534,0.0026541791841443395,0.0737514720104463,0.013242775593471999,0.0002410506305670272,0.001581446206635478,0.05597878444725815,0.004374225726305712,0.16250208395988777,0.0007292425451634703,0.020563541134507916,0.027946547668176946,0.0
Aztreonam_AB,0.032281549420819504,0.06832866410233235,0.021434790895488068,0.011496454634491155,0.037150595795536305,0.017008430349764216,0.027760706050988425,0.0037441719903503006,0.011840173662632878,0.0033910020912872475,0.006715634466189034,0.19746839779482192,0.37953526420946176,0.016908274892510906,0.003427103267610432,0.017384381947219085,0.01829475917117572,0.003339202665066947,0.024776163262168412,0.0055159275381337445,0.0065748478741915264,0.004049290070460038,0.008039186379380146,0.012965191646974808,0.008072385375948878,0.0143229153276315,0.018973957253927063,0.01920057786343752,0.0
Cefazolin_AB,0.01298459838972801,0.036479475156254854,0.0247431325966432,0.014186313877023432,0.007518721279836712,0.0156777665327913,0.007048420468592511,4.024235385484266e-06,0.014373036349144268,0.0,0.0,0.09157197604501144,0.2139198889962504,0.0062059418307867445,0.0015168879521233777,0.002587627541027488,0.0026351374751713646,0.0018469590580654166,0.009710358180522568,5.634588620877287e-05,0.0002978468560406235,0.0049412560824893936,0.014125945915855522,0.0035854216688773477,0.0024200339424879373,0.0022759799456495396,0.012753029883961028,0.49653387385407155,0.0
Cefepime_AB,0.04467677919196304,0.03333032191479458,0.05135530945172948,0.007178703775207431,0.2777511855043493,0.04126354801378941,0.0348421195069611,0.0034239935351747922,0.025719883278876768,0.007966395616893895,0.0054001295304019654,0.06522306725224505,0.037269758115370394,0.026298545818037485,0.016304294354546917,0.04102747899819319,0.027166266161452277,0.02511959831742456,0.053126208616027265,0.012871893078864136,0.005918008011299596,0.014234913141606895,0.017582265335227058,0.02777743258892642,0.01541292848002852,0.030589461375708525,0.023565457350601754,0.02760405368429803,0.0
Cefotaxime_AB,0.011860465188754395,0.028479865399693393,0.2605653802421113,0.012471503865543802,0.10345409307718098,0.02376767292013692,0.015238813943477519,0.01877278992366395,0.023454287288685614,0.0009690788500798052,0.006342657968924215,0.05255675674601111,0.10377846958723169,0.023503353944364695,0.050885586627409066,0.009660549585274548,0.007094041413160852,0.052288560004340956,0.01012453980153544,0.029336773057779805,0.004908157718651066,0.01709510514768737,0.06479115486486581,0.008342164256697263,0.025260428474961575,0.022050950608739194,0.004548381601508812,0.008398417891528887,0.0
Cefpodoxime_AB,0.0025616778967566464,0.011792772299262878,0.0944979284526043,0.04840682155842972,0.021444177131698647,0.05154392322726585,0.007552819084407891,0.21629734331948497,0.018184712951017257,0.0,0.24520425352814557,0.004635749216648008,0.004190003412511539,0.03328061150613014,0.003166589469579787,0.011767398572291601,0.010869051504755044,0.003364807161838135,0.0389637741449725,0.0,0.04883022292216374,0.0032469825912573415,0.04244852712701485,0.008057117959284247,0.004120762058476301,0.039375916512058386,0.023341133375434323,0.002854923016510416,0.0
Ceftazidime-avibactam_AB,0.010459480608613717,0.010157580756827763,0.007979687098744088,0.009937093692256108,0.010037692492725849,0.04429767912954249,0.02517770509700859,0.0,0.013100377672420602,0.0,0.0,0.011942982885159253,0.042960961439520114,0.015563416160246538,0.6406697153637597,0.02377938537616199,0.012402327965227326,0.017262465784513962,0.007799671087596558,0.0002230260322564077,0.0020128586566627318,0.022618490436256418,0.016280078706876734,0.015177457599677409,0.010676557202232798,0.015711831698923588,0.00732584300992704,0.00644563404686217,0.0
Ceftazidime_AB,0.009426615329717586,0.08747323907605273,0.014757690558211384,0.013723089949429813,0.015334786865362195,0.019811716109380283,0.03919514522890929,0.004577730907100953,0.01406483558360155,0.0013635752973949564,0.010347546798250527,0.1481462769564009,0.47966842245566665,0.013884334654849471,0.003044861074374133,0.00821629160287754,0.010462403792677138,0.0018237533931016413,0.00898875091736041,0.012563958521905262,0.0056047008215362095,0.0072966411530682625,0.012521002636240319,0.0065330716766582725,0.010050111872411564,0.010721439155203264,0.019073332518881887,0.011324675093375737,0.0
Ceftolozane-tazobactam_AB,0.016130150634654884,0.02472581978440528,0.017916070823444975,0.010696339817894964,0.01976583407466681,0.021564357789635044,0.046383374694995025,0.0,0.015080442917758567,0.0,0.0,0.016296647051499778,0.028391350217219943,0.03105223319163005,0.03652023805571377,0.05938653284116287,0.035812959572960226,0.25644428574320594,0.018550001625507594,2.9864982576328905e-05,0.00013503015881212362,0.18993611432308255,0.013757958471286812,0.03674387462264787,0.014702832841149323,0.026640105246297355,0.020789245435455878,0.04254833508233606,0.0
Ceftriaxone_AB,0.008425024303290386,0.01675441438559084,0.05652803182994935,0.012565791782807536,0.027256242674767617,0.013509479572007238,0.03445814802579492,0.022901144788495774,0.013720835936488388,0.0009228434300917954,0.008604206796123157,0.011536452569237281,0.30487419902349,0.012429242420979876,0.056482257668604346,0.015009127654462415,0.012577790206466363,0.03200708481649316,0.011335368442510079,0.0022979313293132277,0.009426286898259506,0.054483692512359724,0.146239210483108,0.008621056265738584,0.004013032963861803,0.009915785046914007,0.01900245479859832,0.07410286337419618,0.0
Cefuroxime_AB,0.0060799935730950876,0.2962644720358879,0.019147224618447593,0.10989700695316532,0.01556968268240212,0.01043026697670056,0.015319451861478824,0.059208012925150336,0.015400299455725193,0.001399401116184235,0.03028915093740949,0.04170684790621482,0.03988825182585521,0.014609481575578842,0.003335659202542957,0.008928472473810945,0.0081936797112449,0.0026379611643509338,0.005018677170411019,0.053442814418172745,0.02238249054653504,0.005228816247834954,0.03130342291453208,0.003620740184842465,0.014328826144190066,0.007865583845308678,0.021182990640879043,0.13732032089204865,0.0
Ciprofloxacin_AB,0.014382186479973039,0.016167064659711176,0.014837858553290777,0.008604237687696747,0.013166563326692905,0.031531618180447404,0.026060787457833794,0.008022343245875098,0.02098313325336984,0.013055965370389892,0.016619193738094326,0.01671340163702338,0.034587314913000114,0.3490551714606143,0.07362047644276518,0.019060449134281513,0.016498098833530397,0.03667284364896843,0.014212155155677728,0.016051101470501712,0.00850430431674877,0.015714095576872256,0.01766824489886174,0.028711446507271067,0.025237075582984124,0.027973865059039097,0.021245376701983083,0.09504362670650204,0.0
