,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.06885768555728236,0.013521064887086747,0.004797210208816993,0.018502037973549518,0.09260182269679976,0.020629325017821165,0.005064395019236453,0.0011037932505648992,0.03126196536508029,0.017163953580478175,0.016901165530374823,0.0028741542100318334,0.02640442437166607,0.013805293615803235,0.0024167844355589387,0.022194332484763202,0.007762587398779126,0.012464971770191622,0.015038291584092147,0.03624281131597795,0.02362386655335199,0.507746024430789,0.01923143176009757,0.019790606981806094,0.0
Amoxicillin-clavulanic acid_AB,0.009802449715852445,0.10502260683059648,0.09620718648994966,0.112799285759865,0.004865057923571772,0.08668860831746386,0.009604322934446264,0.05647973514908739,0.10679419243018312,0.17343553302207781,0.016188243245600923,0.0,0.011766040514170422,0.008460607353312402,0.0,0.07587994575690732,0.04969250300808218,0.006720228565913091,0.029403877565565846,0.013026728581023075,0.012368882200358037,0.009956314905056706,0.0,0.0048376497309160485,0.0
Ampicillin-sulbactam_AB,0.009961197324355226,0.08822324803769832,0.010816063608849654,0.010272589024900566,0.01205348955561969,0.028168862351497126,0.023638385755438363,0.0,0.018192962365367066,0.05064551104412793,0.045823508805898645,0.015459422652167357,0.01704655719345604,0.025301937916158857,0.011515927822943573,0.011460455148789132,0.0,0.012351881631775898,0.01763935387737033,0.00770657614086308,0.00629752861848042,0.007403843942121363,0.4196777001647991,0.15034299701732243,0.0
Ampicillin_AB,0.025754658378761515,0.09802147737511185,0.07530287673879667,0.031374661730901435,0.011565606093853306,0.1538553161364269,0.006841619886345385,0.010510027334509082,0.007269775799067178,0.16033787333018618,0.0073638104469596274,0.035714234114709115,0.035886487114832666,0.006487730948874901,0.023725529702037212,0.16421019411963333,0.0015097484022618198,0.029494757663324492,0.014748564508845985,0.01509242506637374,0.0019507496824909079,0.008995716966795578,0.03510590708602887,0.03888025137287224,0.0
Aztreonam_AB,0.021836593989274337,0.1079598446366389,0.03727759624571593,0.04367119388139577,0.025312173414904084,0.022257393053393543,0.017413944835337803,0.012115598233059128,0.23254733244707113,0.1829432102172285,0.0417737589182975,0.008619743829365908,0.0406089417554986,0.016058818107207506,0.010418378012913808,0.023634195154961547,0.005522865874421124,0.009174925888709363,0.010386918836279138,0.018873577100691423,0.006812208855172731,0.024695089568352636,0.03427890641827572,0.04580679072583382,0.0
Cefazolin_AB,0.021671580606687856,0.09724424944324461,0.01457115595898185,0.011177832387554421,0.017186536336613933,0.012819753658059003,0.011574868173167385,0.0,0.039054103684797496,0.184591332515634,0.015466941623380883,0.007932413624353107,0.011404754489284897,0.009432561191196221,0.008201366715664148,0.024630382126042343,2.8915352123889506e-18,0.007068991692351239,0.011999199070504446,0.005497973967656383,0.00873630291842379,0.004730592064499916,0.06438084733373801,0.4106262604181639,0.0
Cefepime_AB,0.037462029692794496,0.03309782158889465,0.04083830783116844,0.24986702573274855,0.04288822095521236,0.02963052072656669,0.016416894068468576,0.005326224964468683,0.053802426740062456,0.027383303175745378,0.02369121903344955,0.05869844775243624,0.04849665022158542,0.03763956520649968,0.04614373334139235,0.04575528062657437,0.005958202374569077,0.010657725891102083,0.038511276997003324,0.028050296800495544,0.01629928763740484,0.040910713725779466,0.03411772628998176,0.028357098625596055,0.0
Cefotaxime_AB,0.025210758665697518,0.052418852918755664,0.10069407669567995,0.2846453279479271,0.0031338329650982153,0.03285654870837404,0.007513352094037929,0.009311166556247055,0.023773388720732033,0.021866585498646,0.0660704711182587,0.07027902288719846,0.0011913877317403564,0.002688337820497047,0.07370365356776531,0.0703554877217525,0.02365534243254555,0.0019302134586088406,0.06877898530013588,0.009197879415884892,0.0017166815164396027,0.006645487694951968,0.02821922150867104,0.014143937054354301,0.0
Ceftazidime-avibactam_AB,0.04473873649854019,0.030276868235107203,0.01380199406676906,0.02099246340929161,0.07949406839941933,0.06682123350914723,0.018845464320523565,0.0,0.03942015373689283,0.014270790270682067,0.02015284905015112,0.2856452512018853,0.06262903509742147,0.08337382881549173,0.02945192708315887,0.0147275674848762,0.0,0.05320822270946459,0.015385117850509108,0.021327996123907036,0.013828050939331805,0.035548134425971774,0.025896523417264415,0.010163723354193535,0.0
Ceftazidime_AB,0.014558627083134256,0.06964992766989882,0.021743825564902765,0.016165062370445217,0.019667297772023282,0.028645178655333614,0.019281223111731922,0.00476140881015095,0.15469879149474275,0.36730850814570015,0.02747929624687044,0.023909957010991686,0.020865798290414954,0.013204716248141696,0.021692545823875076,0.011423922152081429,0.004747954746087938,0.0133327554937835,0.009030657047299547,0.01610470715108201,0.015260970972616139,0.018944111202348887,0.02881618292504911,0.0587065740112938,0.0
Ceftolozane-tazobactam_AB,0.02300145317558057,0.09700410707263601,0.011630359608125702,0.0497192390876626,0.01588795815277371,0.048726336337227505,0.023314059843214704,0.0,0.04767718354738959,0.02616678840824548,0.049125017695417036,0.032001544066758134,0.024661445365732823,0.06608895104680472,0.1984238611298199,0.018796007751351144,0.0,0.04341607650859039,0.024790984681493582,0.030446444801485888,0.013836749460862724,0.0439376579372493,0.09385831506795189,0.0174894592536266,0.0
Ceftriaxone_AB,0.010688703180191206,0.09635206224742679,0.014339651988995124,0.022774697532606566,0.01148859058147092,0.022811162239940938,0.004110223376604926,0.0015840848782888606,0.018244049101342023,0.03822515283719349,0.06865696151755271,0.0555838608805353,0.02001933536188203,0.005336754603506116,0.09029980922596556,0.008486623439286996,0.002393033616596262,0.015836261180213827,0.11142606311285058,0.0116242905513153,0.015817808127458925,0.007025860743514462,0.27027059273590825,0.07660436693935278,0.0
Cefuroxime_AB,0.018321122630752355,0.4024448930028548,0.018293597158783488,0.011833771460381356,0.01256832235635466,0.006134239196438314,0.019901199877670854,0.0035302617499739296,0.09331753272898746,0.12085854146813202,0.016548833665831313,0.012115952673452175,0.013120285542130909,0.012379623101408183,0.009734666873741613,0.01017419102444065,0.011580683960667306,0.013443909885923304,0.02096957688356551,0.005257648026702364,0.00512705684205405,0.005877479638266663,0.03169536246787386,0.12477124778361287,0.0
