,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Ciprofloxacin_AB,0.015137685805285912,0.026324873538080724,0.010332362448922765,0.020421868881070587,0.014824347252299879,0.04507675211567966,0.01868834718977901,0.00637826398788642,0.017827032760809165,0.019614756617552388,0.31439635173939195,0.08031562524648206,0.021406201594427167,0.014342175060643204,0.07807213987758235,0.016607556501707598,0.014491453580393875,0.011295061952768626,0.02818952489771936,0.031249732718658683,0.0358635674666353,0.013707819166837592,0.07486136600678991,0.07057513359259576,0.0
Ertapenem_AB,0.012081332952170034,0.008824321510162499,0.01744562151523891,0.007890692455365875,0.015750764459550905,0.011089819980699736,0.003253342144158428,0.0015746852080096752,0.009622525292393564,0.016548106441995142,0.020978162432898136,0.15254332963378164,0.2902425319088737,0.006614043247875159,0.16893589407833118,0.011189160151040413,0.04367166010179592,0.008855529569534136,0.012057801124000716,0.01905596959466308,0.06687427549055501,0.009167982104865323,0.05308591004859589,0.03264653855344486,0.0
Gentamicin_AB,0.1099950777696681,0.018507510214612916,0.005109441596903043,0.02801828695353125,0.5105495110912108,0.02023284692858921,0.007876413463722195,0.0027659721344558035,0.0240210000685985,0.02031882037894763,0.023594536565672418,0.004778398308304886,0.02719956137681146,0.02061857627437568,0.0037399689964961107,0.019860839557116226,0.0009861516618038684,0.012793330007251793,0.01510047160381182,0.017789207339714813,0.014182768605575064,0.041556271931340524,0.0123134308278244,0.03809160634366154,0.0
Imipenem_AB,0.017138403662429316,0.012435616323706888,0.011385944113103976,0.02318233343494984,0.013398026420246059,0.04019479040929341,0.03082213218574847,0.00014704918929885711,0.02733800167928407,0.02077420651475938,0.022344644562235415,0.10963723746724977,0.2921557257216949,0.030312256887354286,0.0630554818653013,0.015267239616854318,7.164001382861765e-05,0.12484667736983313,0.009972051126031485,0.04610458035386617,0.029974746027932535,0.024736220184378068,0.013581735882330113,0.021123258988289553,0.0
Levofloxacin_AB,0.022130868378550977,0.023299737067014922,0.01472335302680124,0.05105508326708523,0.021352939206747003,0.04386303710529179,0.017988119196674868,0.0,0.023857030386587756,0.026101017255821916,0.04987456715423466,0.021976498042731128,0.04415952235226461,0.09560768579655965,0.018136937753087612,0.021678829237865307,0.0010371918856721266,0.03773692489707263,0.019362467338534504,0.3273699094974531,0.03643772518919267,0.037415175289292536,0.026635458524077494,0.018199922151386255,0.0
Meropenem_AB,0.014600622757802894,0.004304711267321031,0.029554123262211178,0.0055526196147814896,0.005812478649605005,0.01608227586443071,0.03180824174145323,0.0006482608326338619,0.019134297822501832,0.037392972173852734,0.009254614817874502,0.27429508771582867,0.033479918778190475,0.012880535431827869,0.1921387343506854,0.010254107967851698,0.020885112369852243,0.1557814290460604,0.008957946833605157,0.008473547300830876,0.07990206209427633,0.007966848464764371,0.004746978461361122,0.016092472380396974,0.0
Piperacillin-tazobactam_AB,0.0393782999819297,0.023965373578515848,0.011353484082447298,0.02196883948701471,0.022718274942632434,0.34583504116922426,0.01232305387424124,0.0018049426680745327,0.029249462500944422,0.0331676802486134,0.12956084885221092,0.010983646421591619,0.028014918239798528,0.03374639616710415,0.013348595401470565,0.018707731713028555,0.005140780418388582,0.02248842331741549,0.019782959252650723,0.04449109709651537,0.019712532425604418,0.032518825410821336,0.06324862925456935,0.016490163495192636,0.0
Tigecycline_AB,0.006208579260830567,0.004557104564868642,0.0051633502737050245,0.012230537415105385,0.002439795299906537,0.006986360462631742,0.34673997323329375,0.006126288658342095,0.007391854828238908,0.004131413479745889,0.029157035722314484,0.0026490105289648314,0.026809181224028856,0.015173469313204527,0.0011113604484214801,0.007329621348478546,0.38491423598292596,0.01727593775955988,0.0027837729097383314,0.03253485583097495,0.0020569980247699703,0.014205553338624177,0.03489175462458184,0.027131955466743636,0.0
Tobramycin_AB,0.5246961174372898,0.015656310713245202,0.004371210380616074,0.03081832976319352,0.12969981587859952,0.023023211505066594,0.006787935557645576,0.002274661937380668,0.05357441470734066,0.015468808439065422,0.019141560090485003,0.0070119670257784705,0.031113272708286947,0.011393409269125451,0.004889131492035237,0.028417784963541533,0.0032711117165127868,0.00606682596575297,0.010980936496350742,0.011072561097764697,0.006219592692634427,0.02744701544077663,0.01186192165271291,0.014742093068799136,0.0
Trimethoprim-sulfamethoxazole_AB,0.07139471646348865,0.029455818650039073,0.0607454826954264,0.04898568932791945,0.012755438797431507,0.02102671523535301,0.030064266368683527,0.0,0.020739476602789575,0.010918459523494267,0.030299562538610346,0.005457474483434385,0.05632521444730161,0.013025030035850513,0.004534472823199007,0.26411625326352717,0.00038027308611083047,0.16771526011084223,0.01570541355827365,0.013739277599608652,0.007402858098730852,0.05045571381965923,0.03525083649149006,0.029506295978735962,0.0
Trimethoprim_AB,0.026559815768718152,0.050910105732027595,0.06432568092211438,0.06286010598676633,0.04308368420622735,0.0731415947793913,0.01605137845892691,0.058120968560213274,0.06230804200726107,0.09837159432259282,0.12155760915267785,0.0,0.013653030669913664,0.035256360230553854,0.0,0.0,0.07551219577722058,0.01840692118824873,0.013152346762494427,0.0,0.12157862463847016,0.04514994083618166,0.0,0.0,0.0
