,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Gentamicin_AB,Ampicillin_AB,Ciprofloxacin_AB,Amoxicillin-clavulanic acid_AB,Cefepime_AB,Meropenem_AB,Amikacin_AB,Tigecycline_AB,Ceftazidime_AB,Levofloxacin_AB,Piperacillin-tazobactam_AB,Cefazolin_AB,Tobramycin_AB,Cefuroxime_AB,Ertapenem_AB,Ticarcillin-clavulanic acid_AB,Aztreonam_AB,Ampicillin-sulbactam_AB,Moxifloxacin_AB,Nitrofurantoin_AB,Cefotaxime_AB,Trimethoprim_AB,Norfloxacin_AB,Organism_Code
Amikacin_AB,0.0023561521060433957,0.00609282745563872,0.06840476812116733,0.0030544972570516198,0.024573073997915276,0.10785506481922821,0.016921703790933898,0.002477522767284435,0.5101229167466104,0.006855210433450016,0.1539576222689838,0.008608107899329098,0.007427771655959705,0.002836380928637211,0.007496728910946571,5.333450599508978e-05,0.015303711851629778,1.6479907556866633e-05,0.010423531382746518,0.008527114056541793,0.0,0.02693867080773056,0.00969680832861952,1.0915451996364259e-16,1.5711776850642863e-16,0.0
Amoxicillin-clavulanic acid_AB,0.007534093165967948,0.014008855728024898,0.04771053177184842,0.007267563325248262,0.02529169377563015,0.6384669159529803,0.0029983317780603366,0.0017063774355575148,0.020612791610430885,8.806892737485348e-05,0.04545934858088803,0.003363065305745128,0.13389805335104843,0.008560340381534382,0.0022355649436821986,4.304531421008152e-05,0.012490749526275952,0.0,0.00037013478707062747,0.0005734786851118572,0.0,0.0023413726710871654,0.024912749228613723,6.687375360868043e-05,0.0,0.0
Ampicillin-sulbactam_AB,0.019229674066451624,0.007779849267279631,0.19202353456238955,0.019286060299123477,0.014003656851582832,0.023312503189019118,0.06866343769195689,0.005169655700194871,0.006485948097213668,0.010570663609538344,0.05256074431703353,0.010059586736731952,0.03155824127761118,0.1651422759477767,0.017577829620804404,0.06339911267132593,0.04062044037601425,0.031119823438806968,0.009565612103532876,0.18008065709797738,0.019780799002118522,0.001010198831783858,0.010999695243732607,0.0,0.0,0.0
Ampicillin_AB,0.03446296601636731,0.05862534064135898,0.012351917433388992,0.5378077730847404,0.02989538732002543,0.018881204878489356,0.014693783486187037,0.004103915229192091,0.00823883890515154,0.0005154434611482968,0.0479524148340673,0.08374257321014894,0.004217185714632323,0.004641130352802911,0.008612561626182725,0.00020999262716351328,0.07438093261802378,0.0025947148299348814,0.0002942329360728939,0.007416332220461363,0.0007735519772509743,0.006220539744356523,0.0011149604410121445,0.011232364864573963,0.02701994154726635,0.0
Aztreonam_AB,0.001497642464739198,0.01828430253850896,0.05919807955830593,0.001353634826411365,0.11560855987921007,0.02475384105745334,0.03902384074468891,0.0010807018486189797,0.06105045305535593,0.011481026737154322,0.014168215978107962,0.3276148818822261,0.005077673156566904,0.043450858340045556,0.013272417576654521,0.01792697634459147,0.04674701780375406,0.010533082914808152,0.16000114335992305,0.027068572958516567,0.0,0.0,0.00033016982849758873,0.00047690714586120446,0.0,0.0
Cefazolin_AB,0.0034598550129046135,0.2543164896850657,0.00469713889077617,0.0025614381823976917,0.011641025973321718,0.005626923974148963,0.013944386853036426,0.00023316697660902562,0.0016833052804905789,0.006604411398163011,0.04445846460222569,0.02025918152117135,0.007478068232471416,0.31652725477270516,0.010389245125092962,0.07199933554553994,0.1444511891385705,0.04943920426944977,0.004462863707535323,0.018960716894254173,0.0,0.0028507939766257854,0.003955539987444104,0.0,0.0,0.0
Cefepime_AB,0.015269201178452839,0.06089460401243201,0.018100947408928675,0.010988473563220795,0.07330380411654908,0.057609871072297286,0.4113695956355235,0.002946803838969636,0.05027079685238604,7.277162209603526e-05,0.0437280237183242,0.12679785796143858,0.033051668241436044,0.01146872755316928,0.020111230709567312,6.321574956319532e-05,0.0300360167420141,2.5216754187400042e-05,0.006496520123152381,0.009988141650296649,0.0,0.015665343369154795,4.366499798812017e-20,0.0016965361528702286,4.463197396990855e-05,0.0
Cefotaxime_AB,0.0021839333111469596,0.0,0.008307591654511708,0.0015922579582058325,0.06346441688012633,0.02833344812249106,5.269040685672612e-07,0.0017194228489472584,0.003298228998611374,0.0027542238731304526,0.11274876260508675,0.00026817734443310246,0.019298493006874425,0.00011398984780617636,3.9606964031446874e-06,0.0002555439074916464,0.0033115483026871003,0.0,4.145632497810923e-06,0.003069686424494957,0.00011879769552852542,6.451420115863704e-05,0.7490859277605574,2.4020237406517954e-06,0.0,0.0
Ceftazidime_AB,0.002775773877809299,0.019392553732594468,0.006933498781700366,0.003235737885746321,0.046843680392963424,0.03229405829654934,0.008350628526268162,0.0006584807891486338,0.013795312594631313,0.0011352306917499146,0.6336165737412698,0.02575997820306069,0.019133717835060148,0.004626476774347046,0.005614871545790043,0.0015954282783350823,0.010671252855770507,0.00011040245808664894,0.0002299001106181314,0.0015034040050708527,0.00017111860611305075,0.002766910569269862,0.1578680871062567,0.0003902197351164599,0.0005267026066737815,0.0
Ceftriaxone_AB,0.004309811080347551,0.48352471041408795,0.002976488773617769,0.011979564673406561,0.013405711388215478,0.06363192615716848,0.011694244054017672,0.014239488817328302,0.004434444955098276,0.0009698848759255071,0.011080591728364588,0.22937081523817512,0.01347674784044553,0.011156195310904747,0.005012951211912117,0.00022653686857558017,0.11357145059339221,0.0003040742045522998,0.0002554035326552329,0.0001262696554720377,0.0,0.003659129749405336,0.0,0.0001837428430299183,0.0004098160339017035,0.0
