,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Organism_Code
Amikacin_AB,0.08513484527116007,0.00989845712582498,0.009387592723880588,0.015435639125519955,0.018401143249132456,0.010899076447293269,0.012106195041279811,0.05412723249225271,0.0323857105352354,0.019374508149573554,0.0788408492889783,0.020791716517502258,0.0127852888998371,0.5462391496682135,0.021609560144395325,0.01701400601121231,0.007963178758801882,0.007933096806298,0.005721762588034031,0.0034861880494914755,0.002430123862763546,0.003373269727754696,0.0030775250089652567,0.001583884506599553,0.0
Amoxicillin-clavulanic acid_AB,0.020824300615861695,0.052068831582251174,0.005141823765287488,0.00967010583318308,0.06974058787928926,0.0,0.02384197547873243,0.002290729349723414,0.018057831572242982,0.1930840096375842,0.03822870796173965,0.005472362757024014,0.01602813787526277,0.012695587650206164,0.015768068776050997,0.07841348423291453,0.004758595356031748,0.08791285286677256,0.031215705172161178,0.09029972207472993,0.009517030961251238,0.21496954860169937,0.0,0.0,0.0
Ampicillin-sulbactam_AB,0.012877971106279092,0.03763439958942233,0.011688085789247935,0.0240533588007111,0.10700696035689827,0.38368205571520275,0.011198680942259051,0.018977457754248743,0.16206532789874972,0.07126427593707314,0.00836336077679407,0.00729040339148229,0.00996254433833206,0.014980996835999731,0.008987907027059948,0.01075260971655432,0.004333573021541946,0.0,0.03418433458187761,0.020973505036025256,0.006611850263013628,0.0,0.02032644216335976,0.01278389895786726,0.0
Ampicillin_AB,0.04426901515738242,0.24867618822421933,0.0021382620366222206,0.13629058930065505,0.06111434293146688,0.024842130175972664,0.008132755859708992,0.0019624327288194016,0.02240405198293746,0.07243945122559463,0.0019940100628143913,0.04202090926433184,0.003952324427987332,0.008624231537018634,0.05536253431286922,0.018276546941137273,0.16137467774038491,0.003553076617698752,0.008721026835218616,0.040937165410986874,0.0010398293658767292,0.013893538947963698,0.010289419935147868,0.007691488977184661,0.0
Aztreonam_AB,0.0374685239014414,0.041776833450800174,0.011762442340458024,0.03912290775987194,0.2877515167415357,0.030585549978144264,0.01851243549147264,0.014793301230984612,0.20709774053518143,0.03575655672373043,0.02413900439027911,0.033466003761424626,0.02333076739863059,0.036027705288872766,0.0373963052880137,0.03098992593729257,0.013359711148013518,0.00400371094469049,0.010379883044500486,0.02744010287628708,0.005509720475958392,0.013182926343216533,0.0063766239519339775,0.009769800997265477,0.0
Cefazolin_AB,0.015998471411725276,0.13148242344574937,0.020513291935378018,0.4320000928228487,0.11669913578479181,0.013270294187570135,0.020810811486927185,0.015684744791880225,0.08662036539645626,0.007243570710741681,0.011240570950009758,0.011954708790403482,0.007338653854095668,0.01089939800247841,0.00598369637050758,0.008735902801800293,0.0036708966535925844,0.00025176324613807456,0.03038846276858164,0.022019735043131313,0.006491732282039122,0.0,0.014285023220652695,0.006416254042500673,0.0
Cefepime_AB,0.045304692453172785,0.03737983467056162,0.022975989037086263,0.0262059575041,0.028164685963267728,0.023029992454128685,0.02344333844420658,0.0279918252417901,0.07060726518279234,0.03007940428379096,0.04753443967291378,0.051639586384770536,0.029162592878751628,0.03124678117612217,0.2741003877240725,0.03625657851593142,0.01061499944689847,0.010488551134994296,0.012894678958373233,0.04235602564467478,0.046812236489794656,0.01040422688740828,0.0282973328339918,0.033008597016405176,0.0
Cefotaxime_AB,0.07671719177996905,0.13370727154784678,0.013762230607698635,0.027390539127495298,0.05129099149874289,0.0032897829209872246,0.0736633418710032,0.005425369357390599,0.07277725628596454,0.0935385879439784,0.0051616160109147075,0.004457839468982405,0.0028180572291490098,0.024298472150590736,0.08339129039217079,0.026049588881408774,0.0022071921051084113,0.06223512469595718,0.005249754772963213,0.02333665082884409,0.015744883939461322,0.03361809899559548,0.08862981452804108,0.07123905305973631,0.0
Ceftazidime-avibactam_AB,0.02403719267436008,0.027443993120282464,0.026690938990469575,0.010369540290118148,0.01995808032509271,0.023224642847166244,0.009850209053194649,0.022220410720432165,0.02116862418325405,0.0561766339882446,0.07546723575870118,0.02272761685666432,0.02441745062758442,0.03364916915795306,0.022377558391832197,0.0077180083625887855,0.005044750509150332,0.0,0.029853461675289072,0.009999786060496268,0.024784907943010092,0.0,0.03175887397044356,0.47106091449367193,0.0
Ceftazidime_AB,0.025052417015285,0.011879205237414613,0.008833506107650182,0.026343094164655093,0.4143655522049704,0.03529491571684516,0.015926849793405053,0.025923791811855324,0.16086254359640229,0.08508679802504412,0.01471209956682503,0.01379763390028355,0.016272517373210768,0.024597359833698748,0.016647966856802164,0.01225163357725378,0.007728123257378081,0.003791606150546775,0.024174035910104502,0.010397599684410404,0.007542792918607068,0.0074062194482218575,0.013994713501332648,0.01711702434779735,0.0
