Antibiotic,S,R,Total
meropenem,1237,0,1237
ertapenem,131,14,145
tobramycin,138,40,178
tigecycline,0,8,8
piperacillin-tazobactam,1032,103,1135
cefotaxime,689,318,1007
amoxicillin-clavulanic acid,839,295,1134
ampicillin,32,199,231
gentamicin,1043,185,1228
amikacin,1178,46,1224
ceftriaxone,83,136,219
cefepime,148,68,216
trimethoprim,25,59,84
trimethoprim-sulfamethoxazole,0,307,307
norfloxacin,71,13,84
ciprofloxacin,686,536,1222
nitrofurantoin,167,0,167
ceftazidime,1004,210,1214
aztreonam,0,42,42
cefuroxime,0,1,1
Imipenem,48,0,48
ampicillin-sulbactam,0,45,45
cefazolin,0,92,92
levofloxacin,33,109,142
