Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.5691,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140762,ECO,S,S,R,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140792,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5705,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5466,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5447,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140754,ECO,R,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26302,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140775,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5438,ECO,R,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140763,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140821,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.140712,ECO,S,S,R,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26288,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5441,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140717,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5699,ECO,R,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140808,ECO,S,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5471,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140795,ECO,R,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140744,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140737,ECO,R,S,R,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140823,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.5446,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26315,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140776,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26297,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140788,ECO,R,S,R,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26291,ECO,R,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140773,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26306,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5428,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140746,ECO,S,S,S,S,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26303,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26287,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140766,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.5703,ECO,S,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5457,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5463,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140756,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26293,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5464,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5465,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5692,ECO,S,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140794,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140716,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5444,ECO,R,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140784,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140714,ECO,S,S,S,R,R,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.140753,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140745,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140711,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140796,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26307,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140783,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5425,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140801,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140758,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140759,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140781,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5681,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140785,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5702,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26272,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.111034,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140768,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140764,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5467,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140791,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5696,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140805,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140742,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.26308,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140725,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.109859,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140789,ECO,R,S,R,S,R,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5424,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.111035,ECO,R,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26305,ECO,R,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140811,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5436,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5708,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140732,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5449,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140752,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140721,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.26298,ECO,R,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140803,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.26275,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140722,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.5427,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140807,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140813,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5431,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140809,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26316,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5676,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140757,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140787,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,S,S,R,R,,,,,,,
562.5445,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5458,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140719,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140755,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5452,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
