,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Amikacin_AB,0.06798080391539035,0.006671253748847668,0.012733628820821113,0.010608150819856974,0.03338788707163848,0.015133036841714116,0.009058084223207544,0.00576431135582927,0.022886578990476254,0.05726737872324093,0.008685948565228651,0.0058110935798765875,0.010373188641130092,0.019148235235592725,0.0019337073777728991,0.010638139913574336,0.0211942087194276,0.009166948515177457,0.016714103830857457,0.029937986085580383,0.6076218841323051,0.003485703145025794,0.013797737747428322,0.0
Amoxicillin-clavulanic acid_AB,0.03830473747951645,0.007818791959349517,0.005750337466290337,0.018286843897540317,0.014445392875352249,0.12589101595822072,0.01908241692387671,0.09702528184405346,0.19984081038304385,0.25983036363819006,0.010789947207020398,0.0,0.00018072156747133536,0.009551867656885815,0.0,0.09977624830558386,0.03399926524826972,0.010206411358173902,0.018663192333118084,0.007123241451850796,0.01599284527569509,0.0,0.00744026717049732,0.0
Ampicillin-sulbactam_AB,0.031124044202919803,0.037004902841137666,0.013517167730382855,0.016773935842578275,0.016023448906953282,0.08195093431484429,0.01099470030613184,0.0,0.009187378854729079,0.030372926761202564,0.004272113256117369,0.01221829793769429,0.0054093432971910466,0.004905776467106836,0.010439352275442411,0.0,0.007398036361556367,0.0033732904087248276,0.005125969105482556,0.006997995987224033,0.009650321753628292,0.5354925337237572,0.14776752966519519,0.0
Ampicillin_AB,0.012881854854403274,0.05005981556459896,0.013045034316090921,0.03395104188724592,0.00557041334641235,0.12779247681119243,0.000935658709124879,0.020433022625577862,0.052405129990521354,0.10494885210871432,0.004320948833613591,0.0035534672182053503,0.03114866477370064,0.002099836916549123,0.014560597398732795,0.03264897529284932,0.02849231635293195,0.01693290616189265,0.016596780154527542,0.33627645708605514,0.004083678941561187,0.049618664378656197,0.03764340627684221,0.0
Aztreonam_AB,0.05642896597161074,0.04351523674281828,0.006589491417356404,0.012538431446139068,0.004533672252367411,0.007211551993400697,0.007036602386057713,0.010806348627900347,0.38768170758875553,0.32633124877439507,0.006539920455041799,0.002943111127986429,0.012599096598958054,0.004615655926541357,0.002263637934737976,0.013364184731653506,0.006830539455123534,0.01359456857062252,0.0062238956268349304,0.005111395011768324,0.018557803541857362,0.021117929420284676,0.023565004397788185,0.0
Cefazolin_AB,0.03324754847092679,0.06987270458605423,0.08699282922663881,0.00506732610881132,0.015098376893076932,0.0033859790715254114,0.003175156323331176,0.0,0.014670109147362212,0.12574422668203916,0.0027571476214372738,0.008061454651103982,0.004835023175321539,0.002183815191298466,0.005246288198690984,5.948332780210976e-06,0.0019925800311502546,0.0034120876370552565,0.00330186145653076,0.0015676975679228384,0.017082373490724653,0.04320689657567332,0.5490925695605446,0.0
Cefepime_AB,0.0343969432714923,0.030101585438622503,0.014583761039536892,0.4795541333064611,0.01128931623561357,0.03348587643497172,0.030950665422200783,0.023442174165801792,0.046460994456925406,0.028010122139066,0.01794852081888007,0.006692055226163198,0.016110636080558398,0.009502605451574251,0.00803266674500779,0.11340229988602321,0.020024079183167412,0.013158296593749582,0.007263786013908637,0.008879176963190842,0.01537355233487385,0.016463814076281908,0.014872938715928746,0.0
Cefotaxime_AB,0.17821920286446535,0.06683805605152884,0.022901861776704828,0.37423327066053513,0.005838034206819705,0.06101171596297786,0.025210517360589796,0.01110081107423627,0.04653684145821711,0.00980352960251994,0.014545336582094963,0.011570273367158636,0.014294577793958683,0.012237106346720622,0.010174022539375664,0.04993345952680381,0.0072363003090729445,0.009677959592618513,0.0013911394944304918,0.0034885107492505204,0.023563538364515864,0.0021032603774039423,0.03809067393800074,0.0
Ceftazidime-avibactam_AB,0.009077255360748215,0.016499702397613253,0.0105751099032903,0.00997473026342747,0.07969286604907522,0.04117138770915307,0.012256974956285242,0.0,0.008572396721432072,0.0060238555326703,0.009124504606218498,0.6408996848318619,0.018267774565109727,0.016272468286359254,0.014773721107662324,0.0,0.03070848354986529,0.012741766920415773,0.0109043046776966,0.0040575570345794485,0.021734000072588616,0.018798592361881458,0.007872863092066003,0.0
Ceftazidime_AB,0.05150228180208812,0.013732528016212912,0.005402180358146012,0.01208407154394181,0.01530918987926194,0.009642857640674823,0.012072854459438063,0.007414688834628501,0.18947773604683305,0.5038886181941346,0.0061884510476760465,0.005965800170707686,0.00437281016524461,0.006499068277884644,0.00352149052157064,0.016152908652482173,0.006623032277498082,0.00625158123395456,0.007678738297994974,0.012461069506577481,0.026235724184525293,0.030924310998551627,0.04659800788997248,0.0
Ceftolozane-tazobactam_AB,0.007704372088963626,0.015830858207886878,0.00446154152266276,0.03179021450059367,0.010014765808593677,0.018568376719209106,0.0073831002709784845,0.0,0.012426936328274614,0.004373328347418562,0.018235776255730266,0.07615556668821455,0.015682374641176288,0.07175849858720573,0.5399348538170948,0.0,0.08582576257014471,0.005547925614063982,0.011443522264266188,0.008236914860009123,0.037514615530304676,0.00945232049098633,0.007658374886221989,0.0
Ceftriaxone_AB,0.14723596722526172,0.0007302719834186229,0.05316262309187619,0.0034412227361756437,0.0008440616372224383,0.015020094747200133,0.0009213745107947676,0.027776961260735804,0.006479122811451582,0.21959071634798172,0.0030714139581197366,0.0025587144546589083,0.004374557605353461,0.0008618369032084093,0.022602090954537177,0.07135415696227149,0.0038777517180557846,0.028103926892755156,0.0055058182552791424,0.0023075955844758813,0.0010747862789507834,0.0022082578970111046,0.3768966761832044,0.0
Cefuroxime_AB,0.019273385434538923,0.5093359401347091,0.011642375769099107,0.009661368871662286,0.005570282882265694,0.0036342016982990593,0.004869611145398769,0.002188875665537999,0.14909422642269024,0.04587505387524192,0.006886112257124116,0.011810923874093177,0.0025961315547500747,0.004326529068516655,0.009610624067916382,0.012773252464078302,0.003220369697825934,0.0013957693402215873,0.0018514255349435548,0.00288949563694943,0.005473605554716267,0.01693796884597164,0.15908247020344984,0.0
Ciprofloxacin_AB,0.008211941493095681,0.006983379402580554,0.014588696422604804,0.017687537642852597,0.025722903139422222,0.018245050592050865,0.011537125989793503,0.023120642913163864,0.019713719868111025,0.029620992979333852,0.1919244410582064,0.169662567882011,0.04168374203008011,0.01746102863367017,0.17219468987016698,0.01643606904112135,0.05330260160805873,0.034105172294965666,0.016281743371638326,0.045147192347492815,0.023117803717894007,0.024203200595373838,0.01904775710631161,0.0
