,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.01257039655759672,0.016017946740152077,0.08846061685331626,0.0036246950172807305,0.015754026577993657,0.005738190907900892,0.008624458896082772,0.022647651790215464,0.06660840316079714,0.5717609795611602,0.010926671806865585,0.015918743161362405,0.0027743594373846356,0.014855437601382259,0.011031154784440125,0.01927288754791064,0.026512248972591086,0.0042199120924731656,0.018410732028934337,0.015032518077714354,0.009313008492473488,0.0024193805645377335,0.01534017468075681,0.022165404688677382,0.0
Amoxicillin-clavulanic acid_AB,0.03161131619251611,0.01936791474045068,0.017042651833583604,0.006703106218968262,0.09554478805391542,0.036704118951643105,0.29302588779285754,0.013226796500841579,0.028259914128329667,0.01301100590965688,0.014939437085746278,0.07267632152230157,0.08929578223481827,0.03188392278323589,0.033661499962140545,0.04871498631371323,0.08513637151344469,0.0,0.03128879888655364,0.009242747510263162,0.0,0.0,0.0035752779067165143,0.025087353958303447,0.0
Ampicillin-sulbactam_AB,0.012037518201178942,0.01036444218942124,0.01448265184930968,0.011338249983178178,0.05727938699724619,0.01626043594113032,0.0,0.008775585609607943,0.012216327512963995,0.01178532795376443,0.010947736751388491,0.008080761711704434,0.0,0.009034498681660463,0.0354948928436906,0.07266529773083935,0.06057469199583573,0.01517245850523916,0.07281837631538107,0.006768146004449303,0.40370101226498234,0.007929913410822779,0.13120174486314606,0.011070542683059428,0.0
Ampicillin_AB,0.010230890048784073,0.009599162294083169,0.031637233521439934,0.0013580775685008042,0.15671450474144175,0.03649464369132125,0.005938914234440823,0.03676557545669103,0.007896991689889667,0.005522032269688217,0.012539818377989245,0.015185174926581283,0.008023656611984238,0.06592205032335718,0.018985230315900985,0.17962053064768801,0.036683152495790655,0.055513821069172894,0.11565439991572446,0.07128457902203468,0.036250653440832024,0.01413788123716691,0.052175925847131974,0.01586510025236467,0.0
Aztreonam_AB,0.01483526005717731,0.006528900338090425,0.03167220145492382,0.005860649713083735,0.02209165364052665,0.014834572154315488,0.006558785458604773,0.0038778820674790484,0.014354113369531126,0.0191851911465777,0.013804048223508704,0.03847831416398258,0.004535094964186814,0.013391986070993876,0.012734197864117718,0.2757845046697931,0.3146164954444629,0.012158408584248576,0.07666628863918679,0.021843174149662192,0.02030084427682992,0.005634644470797161,0.03462789534477493,0.015624893733144789,0.0
Cefazolin_AB,0.005871394957241651,0.009314593061618448,0.02512936067328931,0.011358388015966218,0.007167272571793497,0.036624375043122964,1.173694865995569e-05,0.0037136791141324206,0.01165357106930602,0.009416487350245938,0.017336106303133043,0.00514435746778116,0.0,0.0073784241374490155,0.012856326133553541,0.19392856922139837,0.05121412182899941,0.014603503679373148,0.10846470448115778,0.011549189926351145,0.013186993520888084,0.0039142531767350506,0.4312394293111733,0.008923162006630514,0.0
Cefepime_AB,0.034502555150554115,0.017601164126784016,0.060852182089886186,0.036653520287220395,0.03924317023359039,0.04244418861078387,0.015192577407006119,0.01214551072739543,0.031584651323530194,0.03872067315742608,0.02543713352553219,0.2340658621996745,0.01690936707469394,0.03280499347868885,0.027752845696556016,0.02541923029570683,0.07738593813764874,0.036096807901904504,0.027840213055374527,0.04677772945482004,0.01889894020878466,0.04021788201587128,0.025959079082063144,0.03549378475850429,0.0
Cefotaxime_AB,0.005472147965578559,0.0017819215342880575,0.07338678219851176,0.005200581989977699,0.07148430782540596,0.12319294064873487,0.03629962757880375,0.006650829198551139,0.0017326073424317541,0.008924377913185861,0.030274883825220755,0.25631517394813624,0.023799256184380856,0.00930907493667649,0.03529918753911937,0.006692540178369724,0.10342321679745678,0.03962339616274851,0.1009802013489266,0.002463250799216544,0.0015835631501929534,0.03566109107337257,0.007834631567905535,0.01261440829280766,0.0
Ceftazidime-avibactam_AB,0.027641771392625497,0.07291799807056089,0.01567530795586861,0.01677446480642012,0.09579089187290461,0.010438905885193228,0.0,0.008905522922597154,0.05311309351434282,0.03466274216015501,0.016019694583488907,0.01760197129096732,0.0,0.01240196218542081,0.01571392630830027,0.011775314268108255,0.010379279624714452,0.02314858746753174,0.0258197289290851,0.02712274233214958,0.014862353485226415,0.45343554274600983,0.011858080891711698,0.02394011730661772,0.0
Ceftazidime_AB,0.007538292122438155,0.013424490778141951,0.01486247746773278,0.007324953048197034,0.019649492517017444,0.020878587662533223,0.007123587982317634,0.008847707696383055,0.011290068004245413,0.010956092315612908,0.01162929779666012,0.012186271346602495,0.00177013935265753,0.00967441190119204,0.007370506448565028,0.4802598724731159,0.18188586831999126,0.013069075208635513,0.04395397183966654,0.00987026612485669,0.020798564548025963,0.01643690023186174,0.057833501945185155,0.011365602868364442,0.0
