,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Organism_Code
Amikacin_AB,0.10796928955354472,0.014074410810504485,0.019024703680146852,0.012006562067886419,0.01292127045443664,0.00833111535304714,0.011829158348838135,0.033068307304892054,0.020838661257119195,0.02193738429001682,0.05417735060606546,0.04452345807905399,0.5938795430828978,0.027555907966474613,0.017862877145075687,0.0
Ampicillin-sulbactam_AB,0.009073458704539752,0.10253092379224181,0.01697182924159506,0.037231974114066355,0.024133768873555277,0.3645384924975764,0.2554560972998278,0.032167515350264755,0.01332335103758237,0.020758778675406382,0.008564247055680114,0.009512366888882736,0.01754850929360814,0.06229809171317233,0.025890595462000822,0.0
Aztreonam_AB,0.05215888606326438,0.03723970141931584,0.046952583956988564,0.053395422891262645,0.13989165571426954,0.013638077731798667,0.06867716861464962,0.04369568893628471,0.18012563647276103,0.04335075787026179,0.060218702889965545,0.04486037983552002,0.06611706598147708,0.10561223462727343,0.04406603699490701,0.0
Cefazolin_AB,0.015761047536304387,0.09608952746347087,0.11928001404609298,0.41143999399909653,0.14000676290089803,0.04978893635147641,0.07037617351394264,0.010298155945498398,0.038840821630003,0.005558983386500635,0.006539856052119932,0.004989591796979366,0.005067114546269838,0.020755634495798134,0.005207386335548946,0.0
Cefepime_AB,0.08652716081172906,0.027684607592063613,0.03989667365997661,0.011880220875583256,0.02681223838404009,0.0456821426919731,0.04102222709935628,0.04246691940530613,0.09393415468177244,0.05198661455028226,0.05568758576833048,0.05636720036850666,0.0563199786926141,0.31824604902542103,0.045486226393044824,0.0
Ceftazidime_AB,0.018084346677736562,0.029353519202968102,0.09097546071980031,0.06995970292185738,0.4220391229096403,0.04354522254524971,0.09099635625993312,0.03413716163012643,0.06455272290272629,0.0346168201653327,0.024816261290979236,0.017767055312454472,0.025247782223411792,0.022040411142273963,0.01186805409550971,0.0
Ceftriaxone_AB,0.010191847715844483,0.06200954038001301,0.023792601338358407,0.038364080219377,0.12119444836093615,0.15338256183147608,0.45276702883753417,0.015212111893926527,0.03386496025091239,0.01056756183419641,0.011462938115825636,0.00786380158446899,0.012553357159693117,0.03712033773590972,0.009652822741527938,0.0
Cefuroxime_AB,0.009820006823010067,0.25654324593542743,0.01649356114355162,0.12947507884291598,0.07777227204713795,0.17269782834500824,0.22827250156535486,0.019204542971208438,0.017138510077850763,0.00901213559633571,0.008186558120149479,0.0051021647334744645,0.006282927641945297,0.023371083397558782,0.02062758275907098,0.0
Ciprofloxacin_AB,0.015303602309135815,0.038584281000518354,0.4548207178920795,0.15752045909065918,0.02340969429044689,0.01599920295383254,0.04976178579932955,0.11564937341479245,0.02206184138773918,0.01865779937822886,0.014727616326795409,0.009768640921490128,0.01332909671901027,0.02336660279761814,0.02703928571832387,0.0
Gentamicin_AB,0.07625549816071252,0.011243117297938438,0.0227014465309316,0.010174063506355528,0.015469285167171713,0.00915789847042382,0.011017119217122492,0.026567892349070595,0.03284863849515273,0.038163306120705606,0.5669492916685301,0.053822043876591175,0.053643000871997804,0.04430353750872852,0.027683860758567498,0.0
Imipenem_AB,0.02176906542162481,0.010161692008250574,0.016377243289699334,0.012139062240514075,0.021902079953170114,0.007645692566328771,0.010314739024176983,0.026006914483020144,0.02619080163268179,0.11557577158167151,0.03627267281822041,0.5848388937532216,0.05432223132611412,0.03777464946675235,0.018708490434553415,0.0
Levofloxacin_AB,0.02293904236138119,0.029605689280182094,0.0953717478876075,0.0293661215888405,0.01684653640264934,0.017444946418042083,0.016523061834777336,0.5711913073823003,0.018751996240038128,0.052476112661836063,0.019929714989960226,0.02476921444903828,0.028276413316169563,0.036375922864025134,0.020132172323152377,0.0
Piperacillin-tazobactam_AB,0.042171837711749996,0.030801068694172238,0.06317349394705535,0.012936991347517562,0.03901355479261641,0.020486658934909748,0.033662902820282295,0.09971508385480675,0.05616240207736839,0.3132168573832079,0.05435207713582206,0.06989663442248281,0.05512889566704058,0.07405091238427652,0.03523062882669126,0.0
Tobramycin_AB,0.5842583305619897,0.016293166254022638,0.016591157416259876,0.008339955007870353,0.013913452637851265,0.008083054116069497,0.007359897227003148,0.0181282265056475,0.025558416376988594,0.02755132049251625,0.08030217604506945,0.02538004396673087,0.055606822138991555,0.08745019432703133,0.025183786925958084,0.0
Trimethoprim-sulfamethoxazole_AB,0.045790386387119686,0.03295802033332239,0.05189846709467286,0.010384912239625517,0.021170508967987684,0.07230714367246183,0.018715879552421974,0.027218571087659724,0.043187039567081476,0.03146704542623448,0.03253950615552982,0.0383580032978092,0.03925131400877329,0.05009478114470024,0.48465842106459966,0.0
