,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Organism_Code
Amikacin_AB,0.10909844918504288,0.01060559104145125,0.01682295881787305,0.008371714044202627,0.02887273483720927,0.011111706440747219,0.014436424829159002,0.03167931729062534,0.03336965104442524,0.016104995717219274,0.05623774782647661,0.018701214529460282,0.014897337381331317,0.5315384206041642,0.02163480221515491,0.022856708004484236,0.019132125665625176,0.004787476667267311,0.01205484203187984,0.004341943342380347,0.0036669183223439574,0.0029597589459731933,0.00209173979695134,0.004625421418551788,0.0
Amoxicillin-clavulanic acid_AB,0.02113003464648673,0.08243039565555557,0.02352962908244615,0.000818511342545502,0.03718366316281571,0.0,0.009911605606858366,0.01592063723154619,0.04955782270427876,0.06882854654108136,0.03236442793949254,0.011000993288765165,0.02127965053085029,0.021201271051692012,0.028533490966143965,0.04429645928825471,0.02391822229991617,0.28919359498978436,0.012794278164971244,0.09018079632458578,0.045335928348872304,0.07059004083305716,0.0,0.0,0.0
Ampicillin-sulbactam_AB,0.021036100996062842,0.025777307723812676,0.004873412477365647,0.10218658947434585,0.16743916140448295,0.38970440582387816,0.02238511539385786,0.007259326453313477,0.07008856692866357,0.029153366288439404,0.014228361861537864,0.005621104619602354,0.0045770665669201335,0.011169570873334124,0.005188252103129549,0.015270686908644845,0.007596431984045837,0.0,0.017882653126185276,0.03416457652082833,0.018354503495850716,0.0,0.01720569985793827,0.008837739117760385,0.0
Ampicillin_AB,0.024315548946953522,0.1303839662266827,0.004826834744876425,0.046086893905402194,0.22158647139679183,0.018493958246345872,0.05614985718765231,0.009312175477624871,0.06863198070686599,0.2893186162733774,0.002244327397917202,0.005055435635716187,0.005382643281305502,0.006290045510126468,0.006805732879876697,0.025457731959039394,0.018995516468931203,0.0010289926466642907,0.004273508142180765,0.03875536723407273,0.0007891210057152879,0.0022745822289254648,0.008703526122936903,0.004837166374018721,0.0
Aztreonam_AB,0.027046333437298876,0.06047254105736719,0.018531803113341683,0.031285475229607645,0.23144089784253424,0.03265583680796798,0.021447049709469562,0.01722450020484802,0.2812192478841016,0.02323788061946975,0.015401281275215162,0.0365835344425105,0.020967683807395988,0.029278304278171574,0.04645456056788616,0.027111762958294604,0.006243454498276136,0.00835269899838741,0.010128940184216683,0.019402546124845092,0.00930382232375755,0.007253168262747672,0.007006777673017245,0.01194989869927169,0.0
Cefazolin_AB,0.010206915249714602,0.09974540571448832,0.009223213553035205,0.4733838255974563,0.11950181256066489,0.02186695682696258,0.0177535653132424,0.0037990388756305488,0.0884320885149103,0.00480448808901901,0.011509732452220827,0.0029655877588119347,0.002481580614064025,0.0040821294271897015,0.012268494882125626,0.011959420221251942,0.0020175362895088634,2.4760257799701444e-17,0.017435243301563416,0.061339080428268515,0.008868111907361965,0.0,0.009530857005569262,0.006824915416939879,0.0
Cefepime_AB,0.058084098557047,0.034524014668180544,0.02647274829225847,0.026707680221217493,0.022929413353281584,0.03390704792617692,0.023438294955961197,0.03505760536012399,0.11228784977931772,0.03945296730714945,0.03762016626288978,0.04852584653907506,0.03838934607073263,0.03836493543930611,0.2160939189415867,0.033531374553159195,0.011536945967828728,0.010788544949605431,0.011257568072517515,0.03329550460249851,0.03830583881816223,0.007956225550421032,0.023175072587516825,0.038296991223985784,0.0
Cefotaxime_AB,0.04695184370805523,0.06979707275903929,0.03708935551539444,0.028836779776975435,0.0400408798518343,0.01625448016673149,0.07773636388511779,0.004015391887160505,0.03186387837783156,0.04121089088865493,0.010797514209252422,0.0031887578315393924,0.007449703909080669,0.021425654365030404,0.0935557808449379,0.08849584738805186,0.026683315625368298,0.06222734853579777,0.010610085450799885,0.045604910336566176,0.0417614094624596,0.009202511503280244,0.10021484562781785,0.0849853780932226,0.0
Ceftazidime-avibactam_AB,0.034550700433117545,0.014739667693749535,0.015586320086578832,0.01024308496335214,0.016549771307158054,0.016695698037990356,0.03054850484041102,0.04777490942747359,0.01901537959867463,0.02377609324264368,0.1381714191195935,0.031095952164715786,0.052819251539985984,0.0501782338487419,0.026694566471934026,0.03004945964996312,0.008632057020036776,0.0,0.022974807686247607,0.019012171382859273,0.019616953567395394,0.0,0.02397146695012551,0.3473035309672518,0.0
Ceftazidime_AB,0.012599783701394873,0.04141321659107426,0.010780838111889634,0.0393798600917538,0.44637580755979334,0.02560411942893797,0.023554501535524124,0.020625302519586285,0.14901244758304655,0.014414822006856719,0.011470839347358174,0.011722431010485122,0.015690853620401537,0.0188827407576603,0.011668991478881379,0.020533246881044,0.007431640644087445,0.010966806664223942,0.014449404582475728,0.016431540880191674,0.012838197145608351,0.004068755698966991,0.018278655357108292,0.041805196801649666,0.0
