Metric,Train set,Phoenix Test,VITEK Test,Unclassified Test
ME,Phoenix Train,6.27,5.53,12.86
ME,Combined Train,4.94,4.07,6.91
VME,Phoenix Train,6.47,11.56,13.13
VME,Combined Train,3.15,6.25,11.52
