Metric,Train set,Phoenix Test,VITEK Test,Unclassified Test
Accuracy,Phoenix Train,0.01,0.02,0.02
Accuracy,Combined Train,0.02,0.01,0.03
ROC AUC,Phoenix Train,0.01,0.03,0.02
ROC AUC,Combined Train,0.03,0.03,0.03
F1-Score,Phoenix Train,0.02,0.02,0.02
F1-Score,Combined Train,0.02,0.01,0.02
